,Preferred Label
496182,"Hyperostosis frontalis interna, obesity, shortness and cognitive impairment"
186119,terpineol-O-glucopyranoside
62915,YF 0200R-B
284022,"3,4-dihydro-2H-imidazo(1,2-c)quinazoline"
237337,"4-O-(2,3-dihydroxy-3-methylbutyl)trehalose"
514642,Whites
443600,Pachyella babingtonii
510762,"Carcinoma, Medullary"
8767,Lactobacillus paracasei subsp. tolerans
129471,tau Proteins
180507,"Armt1 protein, human"
51189,tetraformaltrisazine
116915,pulmonary surfactant apoprotein
187261,"2,4-dithiobiuret"
62169,"5-bromo-4-chloroindol-3-yl 5-acetamido-3,5-dideoxy-glycero-galacto-2-nonulopyranosidonic acid"
450502,Haplosporangium gracile
278973,Aflatoxin M1
32292,Virosomes
210596,"2,4,5,7-tetranitro-xanthone"
97154,"ELIP2 protein, Arabidopsis"
101343,"AF3p21-MLL fusion protein, human"
292726,coenzyme F 390 G
512597,Type B Personality
507874,Oligohymenophorea
293149,faleoconitine
126430,"tRNase Z, human"
144791,"CNP protein, human"
425541,Fomitopsis roseoalba
91935,"substance P, Tyr(8)-"
92665,"jingzhaotoxin-V, Chilobrachys jingzhao"
512008,Islands of Calleja
38852,"1,5-dihydroxy-3-hydroxyethyl-6-methoxycarbonylxanthone"
235176,"5,2',6'-trihydroxy-7-methoxyflavone"
262981,6-methylsalicylic acid
177463,"MAP protein, Sus scrofa"
436864,Paraboeremia litseae
158489,"Tfx protein, Methanobacterium thermoautotrophicum"
160201,glyoxylate reductase
51368,WB 3559 A
53526,hamilxanthene
80966,"5-methylthioribose-1-phosphate isomerase1, Arabidopsis"
387551,shuangfujin
279335,macarecurvatin A
495170,Scleredema Adultorum
443962,Tuber shidianense
452316,Rutstroemia maritima
30913,hynapene B
445798,Lophodermium melaleucum
10070,Achromatium minus
25005,DTZ 323
76938,UVF2274
428094,Myochromella inolens
26307,Fenretinide
507649,Hemoptysis
97209,"Abcc12 protein, mouse"
104207,"cdk8 protein, zebrafish"
261820,16-hydroxylambertic acid 19-O-glucopyranoside
442982,Steinera lebouvieri
183837,"2'-hydroxy-4,6'-dimethoxy-3',4'-(2'',2''-dimethylpyrano)dihydrochalcone"
220676,austrafuran C
62280,euphol
444333,Astrothelium megaspermum
116134,"smad4.2 protein, Xenopus"
431275,Massarina rubi
120241,"shhb protein, zebrafish"
308131,n-propanephosphonic acid anhydride
486161,Trigonella
229072,ferro-N-dithiocarboxysarcosine
166415,Histone Deacetylase 6
1075,Streptomyces fukangensis
174979,"PCS60 protein, S cerevisiae"
250993,drupacine
54702,dodecyl nicotinate
12228,Natronohydrobacter thiooxidans
186223,(2-(2-(bis(2-(1H-imidazol-2-ylmethyleneamino)ethyl)amino)ethyliminomethyl)imidazolido)cobalt(III)
65164,"isopropyl 5,12-hydroxypentadeca-8,10-dien-6,14-diynoate"
163739,insulin-related peptide I
465917,Sporisorium modestum
60752,fucatoside C
45963,muricatacin
171119,"RNF34 protein, human"
109465,"CerS3 protein, mouse"
169905,"Slc15a4 protein, rat"
278890,TMX201
220090,Pentacyclic Triterpenes
64851,chlorosyl
162896,"mitoguardin-1 protein, mouse"
120862,"mtSSB protein, mouse"
467362,Lactarius chromospermus
95698,"Mynn protein, mouse"
61795,rubescin A
395089,Rees antigen
172353,"RNA, Ribosomal, Self-Splicing"
278421,4-nitroformanilide
14548,Murimonas intestini
46794,PKI 166
486178,Nephromopsis stracheyi
126940,"Ae2 protein, Drosophila"
164642,"DYW1 protein, Arabidopsis"
129103,"DNA Topoisomerases, Type I"
45840,"technetium Tc 99m 2,2,8,14,14-pentamethyl-4,8,12-triazadodecanedithiol"
141632,"WDR46 protein, human"
43520,cis-(di(dehydrocholanoate)-bis(triphenylphosphine)-platinum(II))
320837,Thallium-201
315407,acetylurea
152622,"SLD2 protein, S cerevisiae"
308017,panajaponin
226363,N-(4-tert-butylphenyl)-4-(3-chloropyridin-2-yl)tetrahydropyrazine-1(2H)-carboxamide
503263,Surgical Tape
118634,"TREML3P protein, human"
38280,4beta-acetoxyscirpendiol
313131,didemethylchlorpromazine sulfone
119044,"YeaZ protein, E coli"
103988,"NDC1 protein, mouse"
43080,UNC1666
122881,"HY1 protein, Arabidopsis"
126531,"YrdC protein, E coli"
76395,growth hormone-releasing peptide-2
6133,Phycicoccus cremeus
484196,ferrocenylphosphine-phosphoramidite
78459,4-(3-(4-(2-methoxyphenyl)piperazinyl)propyl)aminoquinazolin-2-carboxamide
10980,Dokdonia aurantiaca
426344,Hirticlavula elegans
146175,N-1-deoxyfructosyl-5-oxoproline
162521,Cell-Penetrating Peptides
423227,F-MACHOP protocol
248841,3-carboxy-1-(3-chlorophenyl)-5-methoxypyrazole
14910,Polaribacter gangjinensis
168405,"FRMD5 protein, human"
44170,Gold Colloid
877,Cryptosporangium arvum
97830,"Dsp protein, mouse"
203134,S 35225
456472,Neoceratosperma haldinae
165761,zizyphine A
111135,amyloid beta-protein (1-16)
172438,C3bINA
41644,LG 82-4-00
1145,Streptococcus dentiloxodontae
448557,Trichophyton schoenleinii
439338,Stachybotrys elegans
28318,4-oxo-4-(piperazine-1-yl)butyryl-glycyl-L-aspartyl-L-phenylalanine
585,Metadata
24246,ustiloxin B
232950,"2,3-seco-22(29)-hopene-2-carboxyl-3-aldehyde"
54476,"1,1'-methylenedi-2-naphthol"
434773,Endoconidiophora polonica
80505,"ICP27 protein, Marek's disease virus"
448497,Russula castanopsidis
58882,K 13-004
102167,2-hydroxypropylphosphonic acid epoxidase
364176,"RNA, Long Noncoding"
111059,"SFTPA2 protein, human"
486668,Myristicaceae
21348,"5,3',4'-tridemethylnobiletin"
439481,Cantharellus spectaculus
443876,Melanconis spodiaea
161354,arginyl-arginyl-lysyl-alanyl-seryl-glycyl-prolyl-prolyl-valine
98283,"KDEL-tailed cysteine proteinase receptor, Vigna mungo"
425314,Stachybotrys theobromae
457063,Lecidea floridensis
238163,arctigenin-4-O-(6''-O-acetyl-beta-D-glucoside)
457064,Tephrocybe mephitica
131751,1-deamino-triglycyl-8-lysine-vasopressin
342433,7-deaza-8-bromo-cyclic ADP-ribose
424554,Boletus rubissimus
314046,Lanosterol
465099,Hypogymnia austerodes
512532,"Parietal Cells, Gastric"
1541,Sporanaerobacter acetigenes
494082,Mumps
1160,Scardovia wiggsiae
458799,Clavatispora thailandica
36658,H3B-8800
486964,Rhus
474565,NADP-decanaldehyde
40690,NCO 650
2957,Prosthecobacter debontii
86999,"hmp protein, E coli"
259167,tetrathiafulvalene-2-carboxylic acid
297026,6-(1-hydroxyethyl)-2-isopropyl-1-oxa-penem-3-carboxylic acid
474386,"MIRN122 microRNA, zebrafish"
254777,"N-(6-(2-carboxy-4,6-dinitrophenylamino)hexanoyl)glucopyranosylamine"
501121,"Genes, Y-Linked"
243269,hemulcholic acid
94329,"Socs36E protein, Drosophila"
233205,PR835
424414,Hysterangium nephriticum
469613,Leucoagaricus pyrrhophaeus
86065,carbamylated triiodothyronine
121086,"CdpNPT protein, Aspergillus fumigatus"
447042,Anthracocystis tumefaciens
454729,Umbilicaria antarctica
48431,fosfluconazole
296449,CME-Carbodiimide
267055,obscurolide A4
458390,Urocystis floccosa
19466,Rhizobium selenitireducens
318510,SYBR-14
422382,Denervation
8171,Paenibacillus medicaginis
63738,H 142
56514,cepafungin III
44269,nitrosamine 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone
438328,Cortinarius nauseosouraceus
286357,rosin
5272,Arsenicicoccus piscis
429798,Biatora oligocarpa
426244,Ocellularia bonplandii
75231,"BMS-191352 protein, recombinant"
228449,aspergilloxide
202560,halityloside D
200008,Thiones
225912,lactuside B
47814,isosorbide-5-nicotinate-2-aspirinate
41580,"7,8-dibromododecyl maltoside"
49544,(5-chloro-2(3H)-benzoxazolon-3-yl) propanamide
466031,Microdochium fisheri
43324,CSH 087
154416,"Khdrbs3 protein, mouse"
116450,"SH3PXD2A protein, human"
464795,Leucoagaricus tener
463898,Alternaria multiformis
508095,Strongylida
96422,"RVS161 protein, S cerevisiae"
111416,"BBS9 protein, zebrafish"
60326,"1-(7-methoxy-2-methyl-1,2,3,4-tetrahydro-isoquinolin-4-yl)cyclohexanol"
507710,Hyperalgesia
244053,N-((8-methoxy-2-oxo-2H-benzo(g)chromen-4-yl)methyl)-N-methylacrylamide
63553,"RSI-1 protein, Lycopersicon esculentum"
446593,Colletotrichum kniphofiae
138019,"ERN1 protein, Xenopus"
13341,Citrobacter intermedius
167714,"rca2.1 protein, zebrafish"
20013,norlestrin
32965,danaidone
505409,"Electrophoresis, Starch Gel"
288024,dihydroagathic acid
262457,"3-((norbornyl-2-acetyl)amino)-7,12-dihydroxycholan-24-oic acid"
105746,curcumin-phenylalanine
118560,"Rcm1 protein, S cerevisiae"
135870,"NRTN protein, human"
113968,"Lapsyn protein, Drosophila melanogaster"
124135,"bHLH34 protein, Arabidopsis"
317373,"2,6-Bis(4-anilino)-4-(4-N,N-dimethylanilino)thiopyrylium chloride"
303652,asperphenone C
492659,Parana Hard Skin Syndrome
148461,"DNASE1L3 protein, human"
447543,Xylaria filiformis
43355,"methyl 2-cyano-3,11-dioxo-18beta-olean-1,12-dien-30-oate"
461994,Paradentiscutata maritima
459817,Parepichloe cynodontis
60397,4-difluoromethylphenyl phosphate
184217,sulfoaildenafil
88811,"Tjp3 protein, rat"
47423,"vMIP-III protein, Herpesvirus 8, Human"
469256,Neocucurbitaria acanthocladae
242175,"18,19-epoxyxenic-19-methoxy-18-hydroxy-4-acetoxy-6,9,13-triene"
72190,N-ethyl-beta-methoxy-beta-(3'-trifluoromethylphenyl)- ethylamine
291044,"5,11,17,23,29,35-hexakis((N,N,N-trimethylamonium))-N-methyl-37,38,39,40,41,42-hexakis-n-hexadecyloxy-calix(6)arene hexachloride"
440946,Stromatoneurospora phoenix
23002,"poly(trans-1,2-diaminocyclohexane)platinum-carboxyamylose"
90011,galactose-6-phosphate dehydrogenase
119608,integrin alpha7beta1
171047,pyocin AP41
67890,FL9 peptide
175577,A6H antigen
466586,Cetraria kamtczatica
503046,"Chromosomes, Human, 4-5"
107070,"Oas1g protein, mouse"
427740,Polyporus squamosus
166131,3-methylbutanol-cysteinyl-glycine
486467,Arabidopsis
266745,allylic sulfur ylide
163295,"PPZ1 protein, S cerevisiae"
31574,DOTA-glycyl-glycyl-glycyl-(4-nitrophenyl)alanine amide
421524,Rembrandt Lighten
436759,Cortinarius trachycystis
480846,JBIR-02 compound
24165,macrolactin 2
109270,"QUARTET 3 protein, Arabidopsis"
60066,SQ 32056
37955,styelin E
7934,Leptolyngbya valderiana
452182,Mycena algeriensis
11677,Sulfurospirillum deleyianum
171040,"OXSR1 protein, human"
212626,3-(prop-2-ynyloxy)hydroxyflavone
245682,C.I. Acid Yellow 23
235793,"3-spiro-2'-pyrrolidine-3'-spiro-3'-piperidine-2,3'-dione"
427748,Fibulochlamys chilensis
492335,Pseudopapilledema
460121,Multifurca orientalis
3254,Amylibacter kogurei
510922,"Leukoplakia, Oral"
88133,catabathmophobin
262822,portulene
122265,"EPF2 protein, Arabidopsis"
268022,4-acetyltropolone
492048,Lipomyelomeningocele
512941,Health Facility Environment
497282,"Charcot-Marie-Tooth disease, dominant intermediate 2"
41692,Ipecac
69908,3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol
477973,"MIRN-767 microRNA, human"
88184,"IspE protein, E coli"
9634,Streptomyces cirratus
424928,Helminthosporium leptochloae
187951,ruixianglangdusu B
48549,Brivax II vaccine
487877,Ventilator-Induced Lung Injury
143306,"Asp n 14 allergen, Aspergillus niger"
301193,wuwezidilactone R
424726,Cortinarius flavobulbus
35593,Amantadine
197878,"5-((2'E)-3',7'-dimethyl-2',6'-octadienyl)-4-hydroxy-6-methoxy-1-isoindolinone"
477768,8-N-(CH3)2-FAD
66962,glacin A
163382,"CysQ protein, E coli"
186235,farinosone A
71507,flustramine E
425950,Cutaneotrichosporon spelunceum
117849,"Bach1 protein, mouse"
23918,Lysinoalanine
268611,Galactose
62721,lipine
379126,yanyankang
15328,Desulfallas thermosapovorans
