Sl. No.,Journal name,2022 JIF
315,AMERICAN JOURNAL OF KIDNEY DISEASES,13.2
316,Emerging Microbes & Infections,13.2
317,RESOURCES CONSERVATION AND RECYCLING,13.2
318,AGEING RESEARCH REVIEWS,13.1
319,COMPOSITES PART B-ENGINEERING,13.1
320,Journal of Energy Chemistry,13.1
321,Polymer Reviews,13.1
322,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,13.1
323,CYTOKINE & GROWTH FACTOR REVIEWS,13
324,JACC-Heart Failure,13
325,ACS Catalysis,12.9
326,Computer Science Review,12.9
327,IEEE WIRELESS COMMUNICATIONS,12.9
328,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12.9
329,AMERICAN JOURNAL OF HEMATOLOGY,12.8
330,Blood Cancer Journal,12.8
331,Engineering,12.8
332,EXPERIMENTAL AND MOLECULAR MEDICINE,12.8
333,JOURNAL OF AUTOIMMUNITY,12.8
334,WATER RESEARCH,12.8
335,ACTA NEUROPATHOLOGICA,12.7
336,AMERICAN JOURNAL OF PUBLIC HEALTH,12.7
337,Biochar,12.7
338,Bone Research,12.7
339,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.7
340,JOURNAL OF MEDICAL VIROLOGY,12.7
341,BIOSENSORS & BIOELECTRONICS,12.6
342,Clinical Gastroenterology and Hepatology,12.6
343,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,12.6
344,Environmental Science and Ecotechnology,12.6
345,Translational Neurodegeneration,12.6
346,Annual Review of Pharmacology and Toxicology,12.5
347,Physical Review X,12.5
348,TECHNOVATION,12.5
349,ALLERGY,12.4
350,Annual Review of Biophysics,12.4
351,Annual Review of Food Science and Technology,12.4
352,Annual Review of Nuclear and Particle Science,12.4
353,CELL DEATH AND DIFFERENTIATION,12.4
354,MOLECULAR THERAPY,12.4
355,Small Methods,12.4
356,Theranostics,12.4
357,CLINICAL AND EXPERIMENTAL HYPERTENSION,12.3
358,GENOME BIOLOGY,12.3
359,Genome Medicine,12.3
360,IEEE Transactions on Industrial Informatics,12.3
361,Gut Microbes,12.2
362,EARTH-SCIENCE REVIEWS,12.1
363,JOURNAL OF MANUFACTURING SYSTEMS,12.1
364,Journal of Physiotherapy,12.1
365,Sustainable Production and Consumption,12.1
366,Annual Review of Animal Biosciences,12
367,ARTIFICIAL INTELLIGENCE REVIEW,12
368,COMPUTERS & EDUCATION,12
369,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,12
370,PROGRESS IN SOLID STATE CHEMISTRY,12
371,Travel Medicine and Infectious Disease,12
372,eTransportation,11.9
373,IEEE TRANSACTIONS ON FUZZY SYSTEMS,11.9
374,Journal of Materials Chemistry A,11.9
375,NATURAL PRODUCT REPORTS,11.9
376,PSYCHIATRY AND CLINICAL NEUROSCIENCES,11.9
377,Annual Review of Ecology Evolution and Systematics,11.8
378,CANCER TREATMENT REVIEWS,11.8
379,CLINICAL INFECTIOUS DISEASES,11.8
380,DEVELOPMENTAL CELL,11.8
381,EMERGING INFECTIOUS DISEASES,11.8
382,ENVIRONMENT INTERNATIONAL,11.8
383,IEEE Transactions on Cybernetics,11.8
384,IEEE-CAA Journal of Automatica Sinica,11.8
385,International Journal of Mining Science and Technology,11.8
386,Journal of Sport and Health Science,11.7
387,Nano Convergence,11.7
388,Physics of Life Reviews,11.7
389,PROGRESS IN QUANTUM ELECTRONICS,11.7
390,Pulmonology,11.7
391,Sustainable Cities and Society,11.7
392,GLOBAL CHANGE BIOLOGY,11.6
393,PLANT CELL,11.6
394,CLINICAL CANCER RESEARCH,11.5
395,DRUGS,11.5
396,Materials Today Physics,11.5
397,Reviews in Fisheries Science & Aquaculture,11.5
398,ACS Materials Letters,11.4
399,BIORESOURCE TECHNOLOGY,11.4
400,CEMENT AND CONCRETE RESEARCH,11.4
401,Earth System Science Data,11.4
402,EMBO JOURNAL,11.4
403,ENVIRONMENTAL SCIENCE & TECHNOLOGY,11.4
404,Journal of Integrative Plant Biology,11.4
405,LEUKEMIA,11.4
406,MEDICAL JOURNAL OF AUSTRALIA,11.4
407,npj Clean Water,11.4
408,Redox Biology,11.4
409,TRENDS IN GENETICS,11.4
410,Wiley Interdisciplinary Reviews-Computational Molecular Science,11.4
411,Annual Review of Cell and Developmental Biology,11.3
412,Annual Review of Virology,11.3
413,Biomaterials Research,11.3
414,FEMS MICROBIOLOGY REVIEWS,11.3
415,JACC-Cardiovascular Interventions,11.3
416,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,11.3
417,PSYCHIATRY RESEARCH,11.3
418,ANNALS OF NEUROLOGY,11.2
419,APPLIED ENERGY,11.2
420,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,11.2
421,CANCER RESEARCH,11.2
422,Carbohydrate Polymers,11.2
423,IEEE COMMUNICATIONS MAGAZINE,11.2
424,IEEE Transactions on Affective Computing,11.2
425,Trends in Environmental Analytical Chemistry,11.2
426,Annual Review of Genetics,11.1
427,Biomarker Research,11.1
428,BULLETIN OF THE WORLD HEALTH ORGANIZATION,11.1
429,EBioMedicine,11.1
430,EMBO Molecular Medicine,11.1
431,JACC: CardioOncology,11.1
432,Journal of Cleaner Production,11.1
433,JOURNAL OF INTERNAL MEDICINE,11.1
434,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,11.1
435,REVIEWS IN MEDICAL VIROLOGY,11.1
436,Additive Manufacturing,11
437,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,11
438,ISME Journal,11
439,JOURNAL OF BIOMEDICAL SCIENCE,11
440,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,11
441,Laser & Photonics Reviews,11
442,MOLECULAR PSYCHIATRY,11
443,Protection and Control of Modern Power Systems,11
444,Research,11
445,ACTA PHYSICO-CHIMICA SINICA,10.9
446,CARBON,10.9
447,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,10.9
448,Environmental Science & Technology Letters,10.9
449,Experimental Hematology & Oncology,10.9
450,JAMA Dermatology,10.9
451,Journal for ImmunoTherapy of Cancer,10.9
452,Journal of Materials Science & Technology,10.9
453,MEDICAL IMAGE ANALYSIS,10.9
454,Transactions of the Association for Computational Linguistics,10.9
455,TRENDS IN ENDOCRINOLOGY AND METABOLISM,10.9
456,CARDIOVASCULAR RESEARCH,10.8
457,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,10.8
458,Globalization and Health,10.8
459,International Journal of Antimicrobial Agents,10.8
460,JOURNAL OF CONTROLLED RELEASE,10.8
461,NANO LETTERS,10.8
462,ANAESTHESIA,10.7
463,FOOD HYDROCOLLOIDS,10.7
464,Journal of Advanced Research,10.7
465,MOLECULAR BIOLOGY AND EVOLUTION,10.7
466,Biological Psychiatry,10.6
467,Clinical and Translational Medicine,10.6
468,CLINICAL NUCLEAR MEDICINE,10.6
469,IEEE Internet of Things Journal,10.6
470,IEEE TRANSACTIONS ON IMAGE PROCESSING,10.6
471,IEEE TRANSACTIONS ON MEDICAL IMAGING,10.6
472,MOLECULAR ASPECTS OF MEDICINE,10.6
473,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,10.6
474,Virtual and Physical Prototyping,10.6
475,Annual Review of Medicine,10.5
476,Annual Review of Microbiology,10.5
477,BRITISH JOURNAL OF PSYCHIATRY,10.5
478,CEMENT & CONCRETE COMPOSITES,10.5
479,GENES & DEVELOPMENT,10.5
480,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.5
481,Plant Communications,10.5
482,SLEEP MEDICINE REVIEWS,10.5
483,ENERGY CONVERSION AND MANAGEMENT,10.4
484,ENVIRONMENTAL HEALTH PERSPECTIVES,10.4
485,Foundations and Trends in Information Retrieval,10.4
486,IEEE Transactions on Neural Networks and Learning Systems,10.4
487,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,10.4
488,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,10.4
489,Optica,10.4
490,Reviews in Aquaculture,10.4
491,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,10.4
492,AUTOMATION IN CONSTRUCTION,10.3
493,BRITISH JOURNAL OF DERMATOLOGY,10.3
494,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,10.3
495,JNCI-Journal of the National Cancer Institute,10.3
496,JOURNAL OF PINEAL RESEARCH,10.3
497,Materials Today Nano,10.3
498,SPACE SCIENCE REVIEWS,10.3
499,Annual Review of Phytopathology,10.2
500,Asian Journal of Pharmaceutical Sciences,10.2
501,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,10.2
502,JOURNAL OF NANOBIOTECHNOLOGY,10.2
503,SIAM REVIEW,10.2
504,BIOSCIENCE,10.1
505,Cancer Immunology Research,10.1
506,HAEMATOLOGICA,10.1
507,Journal of Nanostructure in Chemistry,10.1
508,Advanced Healthcare Materials,10
509,Applied and Computational Mathematics,10
510,BIOLOGICAL REVIEWS,10
511,COMPUTERS IN INDUSTRY,10
512,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,10
513,Materials Today Advances,10
514,Particle and Fibre Toxicology,10
515,Swarm and Evolutionary Computation,10
516,THORAX,10
517,Current Opinion in Food Science,9.9
518,DESALINATION,9.9
519,INFORMATION & MANAGEMENT,9.9
520,JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.9
521,Molecular Systems Biology,9.9
522,Nano Research,9.9
523,NEUROLOGY,9.9
524,AMERICAN JOURNAL OF GASTROENTEROLOGY,9.8
525,AMERICAN JOURNAL OF HUMAN GENETICS,9.8
526,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,9.8
527,ANGIOGENESIS,9.8
528,BRITISH JOURNAL OF ANAESTHESIA,9.8
529,Clinical Journal of the American Society of Nephrology,9.8
530,GREEN CHEMISTRY,9.8
531,INTERNATIONAL JOURNAL OF PLASTICITY,9.8
532,METABOLISM-CLINICAL AND EXPERIMENTAL,9.8
533,PLOS BIOLOGY,9.8
534,Research Synthesis Methods,9.8
535,Science of The Total Environment,9.8
536,Scientific Data,9.8
537,SPORTS MEDICINE,9.8
538,SURFACE SCIENCE REPORTS,9.8
539,Acta Biomaterialia,9.7
540,Annual Review of Biomedical Engineering,9.7
541,Annual Review of Materials Research,9.7
542,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,9.7
543,CANCER LETTERS,9.7
544,Circulation-Heart Failure,9.7
545,HEALTH AFFAIRS,9.7
546,JACC-Basic to Translational Science,9.7
547,Nanoscale Horizons,9.7
548,NPG Asia Materials,9.7
549,npj 2D Materials and Applications,9.7
550,npj Computational Materials,9.7
551,PRX Quantum,9.7
552,SOIL BIOLOGY & BIOCHEMISTRY,9.7
553,British Journal of Surgery,9.6
554,CHEST,9.6
555,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,9.6
556,IEEE Transactions on Smart Grid,9.6
557,PROGRESS IN AEROSPACE SCIENCES,9.6
558,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,9.6
559,Science China-Chemistry,9.6
560,Sustainable Materials and Technologies,9.6
561,TRENDS IN PARASITOLOGY,9.6
562,ACS Applied Materials & Interfaces,9.5
563,Asian Journal of Psychiatry,9.5
564,BASIC RESEARCH IN CARDIOLOGY,9.5
565,BRIEFINGS IN BIOINFORMATICS,9.5
566,Current Climate Change Reports,9.5
567,Current Forestry Reports,9.5
568,CURRENT OPINION IN PLANT BIOLOGY,9.5
569,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,9.5
570,GENOMICS PROTEOMICS & BIOINFORMATICS,9.5
571,JOURNAL OF MEMBRANE SCIENCE,9.5
572,ACTA MATERIALIA,9.4
573,ANNUAL REVIEWS IN CONTROL,9.4
574,Journal of Allergy and Clinical Immunology-In Practice,9.4
575,JOURNAL OF CLINICAL MICROBIOLOGY,9.4
576,Journal of Energy Storage,9.4
577,Journal of Materiomics,9.4
578,NEW PHYTOLOGIST,9.4
579,Advances in Nutrition,9.3
580,BMC Medicine,9.3
581,Cardiovascular Diabetology,9.3
582,Cell Systems,9.3
583,CLINICAL CHEMISTRY,9.3
584,COMPUTATIONAL LINGUISTICS,9.3
585,Current Opinion in Green and Sustainable Chemistry,9.3
586,ENDOSCOPY,9.3
587,IEEE NETWORK,9.3
588,Journal of Neuroinflammation,9.3
589,JOURNAL OF NUCLEAR MEDICINE,9.3
590,Materials Today Energy,9.3
591,PHARMACOLOGICAL RESEARCH,9.3
592,TRENDS IN CARDIOVASCULAR MEDICINE,9.3
593,CANCER AND METASTASIS REVIEWS,9.2
594,CURRENT BIOLOGY,9.2
595,GigaScience,9.2
596,International Journal of Biological Sciences,9.2
597,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,9.2
598,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,9.2
599,JOURNAL OF POWER SOURCES,9.2
600,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,9.2
601,npj Biofilms and Microbiomes,9.2
602,npj Vaccines,9.2
603,Revista de Psiquiatria y Salud Mental,9.2
604,Wiley Interdisciplinary Reviews-Climate Change,9.2
605,CHINESE CHEMICAL LETTERS,9.1
606,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,9.1
607,COMPOSITES SCIENCE AND TECHNOLOGY,9.1
608,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,9.1
609,JOURNAL OF CLINICAL IMMUNOLOGY,9.1
610,LANDSCAPE AND URBAN PLANNING,9.1
611,PERSOONIA,9.1
612,PROGRESS IN CARDIOVASCULAR DISEASES,9.1
613,Science China-Life Sciences,9.1
614,Advanced Optical Materials,9
615,Alzheimers Research & Therapy,9
616,ANNALS OF SURGERY,9
617,Biofabrication,9
618,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,9
619,Cell Death & Disease,9
620,CRITICAL REVIEWS IN BIOTECHNOLOGY,9
621,Energy,9
622,Energy Policy,9
623,IEEE Computational Intelligence Magazine,9
624,npj Climate and Atmospheric Science,9
625,Seminars in Immunopathology,9
626,ACS Sensors,8.9
627,Annual Review of Nutrition,8.9
628,Cell Reports Physical Science,8.9
629,Clinical and Molecular Hepatology,8.9
630,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,8.9
