,Preferred Label,Semantic Types Label,Class ID,Semantic Types,Synonyms,Parents,CUI,AQL,TERMUI
510021,Subarachnoid Hemorrhage,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D013345,T046,"Hemorrhage, Subarachnoid|Hemorrhages, Subarachnoid|Spontaneous Subarachnoid Hemorrhage|Hemorrhage, Intracranial Subarachnoid|Subarachnoid Hemorrhages, Aneurysmal|Perinatal Subarachnoid Hemorrhages|Aneurysmal Subarachnoid Hemorrhage|Subarachnoid Hemorrhages|SAH (Subarachnoid Hemorrhage)|Hemorrhage, Aneurysmal Subarachnoid|Subarachnoid Hemorrhage, Perinatal|Subarachnoid Hemorrhage, Aneurysmal|Subarachnoid Hemorrhage, Spontaneous|Subarachnoid Hemorrhages, Spontaneous|Intracranial Subarachnoid Hemorrhages|Perinatal Subarachnoid Hemorrhage|Aneurysmal Subarachnoid Hemorrhages|Hemorrhages, Intracranial Subarachnoid|Hemorrhages, Spontaneous Subarachnoid|Subarachnoid Hemorrhages, Intracranial|Hemorrhages, Aneurysmal Subarachnoid|SAHs (Subarachnoid Hemorrhage)|Hemorrhages, Perinatal Subarachnoid|Spontaneous Subarachnoid Hemorrhages|Hemorrhage, Perinatal Subarachnoid|Hemorrhage, Spontaneous Subarachnoid|Intracranial Subarachnoid Hemorrhage|Subarachnoid Hemorrhage, Intracranial|Subarachnoid Hemorrhages, Perinatal",http://purl.bioontology.org/ontology/MESH/D020300,C0270192|C0038525|C0795688|C0472383|C0751530,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370640|T039189|T370639|T370637|T039188|T370638|T370636
423576,Stroke Rehabilitation,Therapeutic or Preventive Procedure,http://purl.bioontology.org/ontology/MESH/D000071939,T061,"Rehabilitation, Stroke",http://purl.bioontology.org/ontology/MESH/D000066530,C0204097,AE CL EC ES HI IS MO MT NU PX SN ST TD,T000897546
487830,Heat Stroke,Injury or Poisoning,http://purl.bioontology.org/ontology/MESH/D018883,T037,"Heat Strokes|Stroke, Heat|Heatstrokes|Heatstroke",http://purl.bioontology.org/ontology/MESH/D018882,C0018843,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T056290|T056289
491636,Hemorrhagic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083302,T047,"Stroke, Intracerebral Hemorrhagic|Hemorrhage Stroke, Intracerebral|Subarachnoid Hemorrhagic Strokes|Intracerebral Hemorrhage Stroke|Stroke, Subarachnoid Hemorrhagic|Intracerebral Hemorrhagic Stroke|Subarachnoid Hemorrhagic Stroke|Hemorrhagic Stroke, Intracerebral|Hemorrhagic Stroke, Subarachnoid|Intracerebral Hemorrhage Strokes|Intracerebral Hemorrhagic Strokes|Stroke, Intracerebral Hemorrhage|Stroke, Hemorrhagic|Hemorrhagic Strokes",http://purl.bioontology.org/ontology/MESH/D020521,C5392098|C5392835|C5234922,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005105|T001005106|T001005104|T001005103
492459,Ischemic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083242,T047,"Stroke, Acute Ischemic|Stroke, Cryptogenic Ischemic|Stroke, Ischaemic|Cryptogenic Strokes|Ischemic Strokes|Wake-up Strokes|Ischemic Stroke, Acute|Cryptogenic Embolism Stroke|Ischaemic Stroke|Cryptogenic Stroke|Ischaemic Strokes|Acute Ischemic Stroke|Stroke, Cryptogenic|Cryptogenic Ischemic Stroke|Embolism Stroke, Cryptogenic|Wake-up Stroke|Acute Ischemic Strokes|Stroke, Ischemic|Stroke, Cryptogenic Embolism|Wake up Stroke|Cryptogenic Embolism Strokes|Stroke, Wake-up|Cryptogenic Ischemic Strokes|Ischemic Stroke, Cryptogenic",http://purl.bioontology.org/ontology/MESH/D020521,C0948008|C5392832|C5392097|C5392833,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005057|T001004998|T001005114|T001004997|T001004996|T001005110|T001005056
493566,Thrombotic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083244,T047,"Stroke, Acute Thrombotic|Stroke, Thrombotic|Thrombotic Strokes|Thrombotic Stroke, Acute|Acute Thrombotic Strokes|Acute Thrombotic Stroke",http://purl.bioontology.org/ontology/MESH/D000083242,C5392834|C0242129,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005017|T001005016
493615,"Stroke, Lacunar",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D059409,T047,"Infarcts, Lacunar|Lacunar Syndrome|Infarct, Lacunar|Strokes, Lacunar|Lacunar Stroke|Lacunar Infarcts|Lacunar Strokes|Infarctions, Lacunar|Lacunar Infarctions|Syndromes, Lacunar|Syndrome, Lacunar|Lacunar Infarction|Lacunar Syndromes|Lacunar Infarct|Infarction, Lacunar",http://purl.bioontology.org/ontology/MESH/D000083244|http://purl.bioontology.org/ontology/MESH/D059345|http://purl.bioontology.org/ontology/MESH/D020520,C0333559|C3178801,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T366348|T777238|T777246|T776648
497395,Embolic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083262,T047,"Stroke, Cardioembolic|Cardio-embolic Stroke|Strokes, Cardioembolic|Embolic Strokes|Stroke, Embolic|Stroke, Cardio-embolic|Cardioembolic Strokes|Cardio-embolic Strokes|Strokes, Embolic|Cardioembolic Stroke|Cardio embolic Stroke|Strokes, Cardio-embolic",http://purl.bioontology.org/ontology/MESH/D000083242,C1531624|C0262469,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005060|T001005058|T001005059
498386,Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020521,T047,"Cerebral Stroke|Brain Vascular Accidents|CVA (Cerebrovascular Accident)|Stroke, Cerebral|Brain Vascular Accident|Cerebrovascular Apoplexy|Vascular Accident, Brain|Apoplexy, Cerebrovascular|Cerebral Strokes|Cerebrovascular Stroke|Strokes, Cerebrovascular|Acute Strokes|Cerebrovascular Accident|CVAs (Cerebrovascular Accident)|Cerebrovascular Accident, Acute|Acute Stroke|Strokes|Strokes, Acute|Acute Cerebrovascular Accidents|Cerebrovascular Accidents|Cerebrovascular Accidents, Acute|Stroke, Acute|Strokes, Cerebral|Acute Cerebrovascular Accident|Cerebrovascular Strokes|Stroke, Cerebrovascular|Vascular Accidents, Brain|Apoplexy",http://purl.bioontology.org/ontology/MESH/D002561,C0038454|C0751956,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RT SU TH UR VE VI,T367064|T367061|T367065|T007469|T358070|T007470|T367066|T367058|T367062|T367063
501218,Stroke Volume,Finding,http://purl.bioontology.org/ontology/MESH/D013318,T033,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110
502545,National Institute of Neurological Disorders and Stroke (U.S.),Health Care Related Organization,http://purl.bioontology.org/ontology/MESH/D055825,T093,NINDS|National Institute of Neurological Disorders and Stroke,http://purl.bioontology.org/ontology/MESH/D009316,C2350584,CL EC ES HI LJ OG SN ST TD,T718944|T718943|T718942
514056,Stroke Volume,Laboratory or Test Result,http://purl.bioontology.org/ontology/MESH/D013318,T034,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110
514527,Stroke Volume,Clinical Attribute,http://purl.bioontology.org/ontology/MESH/D013318,T201,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110
492461,Stiff-Person Syndrome,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D016750,T047,"Syndrome, Stiff-Baby|Congenital Stiff-Man Syndromes|Syndrome, Startle|Congenital Stiff Man Syndrome|Familial Hyperekplexias|Hyperekplexias, Hereditary|Moersch Woltmann Syndrome|Stiff-Person Syndrome, Congenital|Stiff-Trunk Syndrome|Congenital Stiff-Person Syndrome|Syndromes, Stiff-Trunk|Startle Syndrome|Syndrome, Moersch-Woltmann|Syndrome, Stiff-Person|Moersch-Woltmann Syndrome|Syndromes, Congenital Stiff-Person|Hereditary Hyperekplexia|Syndrome, Stiffman|Stiffman Syndrome|Syndrome, Stiff-Trunk|Stiff Man Syndrome|Stiff-Man Syndrome|Syndromes, Congenital Stiff-Man|Syndrome, Stiff-Man|Stiff Person Syndrome|Hyperekplexias, Familial|Stiff-Trunk Syndromes|Stiff Trunk Syndrome|Hyperekplexia, Familial|Startle Syndromes|Stiff-Man Syndrome, Congenital|Congenital Stiff-Person Syndromes|Stiff-Baby Syndrome|Syndrome, Congenital Stiff-Person|Hyperekplexia, Hereditary|Syndromes, Startle|Syndrome, Congenital Stiff-Man|Congenital Stiff-Man Syndrome|Familial Hyperekplexia|Syndromes, Stiff-Baby|Stiff-Man Syndromes, Congenital|Stiff-Baby Syndromes|Hereditary Hyperekplexias|Stiff-Person Syndromes, Congenital",http://purl.bioontology.org/ontology/MESH/D013118|http://purl.bioontology.org/ontology/MESH/D009468|http://purl.bioontology.org/ontology/MESH/D020274,C0085292|C4255079|C4084968,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T841602|T841607|T050218|T841608|T050217|T811986|T365296|T841603|T841605|T050216|T841604
490313,Spinal Muscular Atrophies of Childhood,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D014897,T047,"Muscular Atrophy, Infantile|Spinal Muscular Atrophy Type I|Proximal Hereditary Motor Neuropathy Type I|Type III Spinal Muscular Atrophy|Spinal Muscular Atrophy, Type I|Werdnig-Hoffmann Disease|Spinal Muscular Atrophy 1|Type I Spinal Muscular Atrophy|SMA, Infantile Acute Form|Juvenile Spinal Muscular Atrophy|Muscular Atrophy, Spinal, Type III|Spinal Muscular Atrophy Type II|Juvenile Muscular Atrophy|Spinal Muscular Atrophy, Juvenile|Spinal Muscular Atrophy, Type II|Muscular Atrophy, Spinal, Intermediate Type|Spinal Muscular Atrophy Type 2|Werdnig Hoffmann Disease|Werdnig Hoffman Disease|Spinal Muscular Atrophy, Type 3|Infantile Muscular Atrophy|Kugelberg Welander Syndrome|Muscular Atrophy, Spinal, Infantile Chronic Form|Muscular Atrophy, Juvenile|Spinal Muscular Atrophy, Infantile|Muscular Atrophy, Spinal, Type I|Kugelberg-Welander Syndrome|Muscular Atrophy, Spinal, Infantile|Muscular Atrophy, Spinal, Type II|HMN (Hereditary Motor Neuropathy) Proximal Type I|Spinal Muscular Atrophy, Mild Childhood and Adolescent Form|Spinal Muscular Atrophy, Type III|Kugelberg Welander Disease|Kugelberg-Welander Disease|Infantile Spinal Muscular Atrophy|Spinal Muscular Atrophy Type III|Type II Spinal Muscular Atrophy",http://purl.bioontology.org/ontology/MESH/D009134|http://purl.bioontology.org/ontology/MESH/D020271,C2931358|C0152109|C0700595|C0043116|C0393538,BL CF CI CL CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370511|T370497|T812030|T370494|T365685|T781523|T370512|T370514|T752487|T824549|T370516|T370519|T370508|T370509|T752515|T370507|T370510|T043481|T000892049|T043483|T370495|T752516|T043482|T752486|T370496|T043480|T370518|T000892050|T370517|T370513|T370515|T752488|T370520
487928,Spinal Cord Injuries,Injury or Poisoning,http://purl.bioontology.org/ontology/MESH/D013119,T037,"Post-Traumatic Myelopathies|Spinal Cord Transection|Cord Injuries, Spinal|Cord Injury, Spinal|Traumas, Spinal Cord|Myelopathy, Post-Traumatic|Transection, Spinal Cord|Post Traumatic Myelopathy|Cord Lacerations, Spinal|Cord Laceration, Spinal|Spinal Cord Injury|Trauma, Spinal Cord|Cord Traumas, Spinal|Contusions, Spinal Cord|Post-Traumatic Myelopathy|Spinal Cord Traumas|Cord Transections, Spinal|Spinal Cord Contusion|Myelopathy, Traumatic|Transections, Spinal Cord|Spinal Cord Contusions|Lacerations, Spinal Cord|Traumatic Myelopathies|Spinal Cord Laceration|Cord Transection, Spinal|Contusion, Spinal Cord|Injuries, Spinal Cord|Cord Contusions, Spinal|Cord Contusion, Spinal|Spinal Cord Lacerations|Spinal Cord Trauma|Cord Trauma, Spinal|Spinal Cord Transections|Traumatic Myelopathy|Laceration, Spinal Cord|Injury, Spinal Cord|Myelopathies, Traumatic|Myelopathies, Post-Traumatic",http://purl.bioontology.org/ontology/MESH/D013118|http://purl.bioontology.org/ontology/MESH/D014947|http://purl.bioontology.org/ontology/MESH/D020196,C0433895|C0433905|C0751515|C0433900|C0037929,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T038594|T369824|T369825|T369821|T369822|T369823|T369820|T038595
496548,Spinal Cord Diseases,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D013118,T047,Spinal Cord Disease|Myelopathy|Myelopathies|Spinal Cord Disorders|Spinal Cord Disorder,http://purl.bioontology.org/ontology/MESH/D002493,C0037928,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T370396|T370395|T038593
494169,Shy-Drager Syndrome,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D012791,T047,"Dysautonomic Orthostatic Hypotension|Dysautonomic Orthostatic Hypotensions|Dysautonomia Orthostatic Hypotension Syndrome|Idiopathic Orthostatic Hypotension, Shy-Drager Type|Syndrome, Shy-Drager|Syndrome, Dysautonomia Orthostatic Hypotension|Failure, Progressive Autonomic|Dysautonomia-Orthostatic Hypotension Syndromes|Progressive Autonomic Failures|Hypotensions, Dysautonomic Orthostatic|Syndromes, Dysautonomia-Orthostatic Hypotension|Progressive Autonomic Failure|Syndrome, Dysautonomia-Orthostatic Hypotension|Orthostatic Hypotensions, Dysautonomic|Hypotension, Dysautonomic Orthostatic|Orthostatic Hypotension, Dysautonomic|Failures, Progressive Autonomic|Shy Drager Syndrome|Hypotension Syndromes, Dysautonomia-Orthostatic|Hypotension Syndrome, Dysautonomia-Orthostatic|Idiopathic Orthostatic Hypotension, Shy Drager Type|Autonomic Failures, Progressive|Dysautonomia-Orthostatic Hypotension Syndrome|Autonomic Failure, Progressive",http://purl.bioontology.org/ontology/MESH/D019578|http://purl.bioontology.org/ontology/MESH/D007022,C0037019,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T364391|T364392|T037740|T364390|T364393|T364389
491370,Retinal Diseases,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D012164,T047,"Diseases, Retinal|Retinal Disease|Disease, Retinal",http://purl.bioontology.org/ontology/MESH/D005128,C0035309,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T036203
495319,Reflex Sympathetic Dystrophy,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D012019,T047,"Reflex Sympathetic Dystrophy Syndrome|Syndrome, Shoulder-Hand|Sudek's Atrophy|Reflex Dystrophia, Sympathetic|Sympathetic Dystrophy, Cervical|Pain Syndrome Type I, Complex Regional|Syndrome, Reflex Sympathetic Dystrophy|Shoulder-Hand Syndromes|CRPS Type Is|Shoulder Hand Syndrome|Syndrome, Algodystrophic|Sympathetic Dystrophy, Reflex|Cervical Sympathetic Dystrophy|Dystrophies, Cervical Sympathetic|Sudeks Atrophy|Algodystrophy|Sympathetic Reflex Dystrophias|Sympathetic Reflex Dystrophia|Atrophy, Sudek|Pain Syndrome Type I, Regional, Complex|RSD (Reflex Sympathetic Dystrophy)|Sudek Atrophy|Type I, CRPS|Dystrophy, Reflex Sympathetic|Sudek's Atrophies|RSDs (Reflex Sympathetic Dystrophy)|Complex Regional Pain Syndrome, Type I|Sympathetic Dystrophies, Cervical|Reflex Sympathetic Dystrophies|Cervical Sympathetic Dystrophies|Sympathetic Dystrophies, Reflex|Atrophies, Sudek's|Syndromes, Shoulder-Hand|Dystrophies, Reflex Sympathetic|Algodystrophic Syndrome|Type I Complex Regional Pain Syndrome|Shoulder-Hand Syndrome|Atrophy, Sudek's|Dystrophy, Cervical Sympathetic|CRPS Type I|Algodystrophies",http://purl.bioontology.org/ontology/MESH/D020918,C4040007|C1527353|C0391959|C0034931,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T369059|T369056|T369052|T369053|T369058|T369054|T372390|T369062|T035772|T035771|T369060|T000925466|T035775|T369061|T369057|T372389
