,Preferred Label,Semantic Types Label,Class ID,Semantic Types,Synonyms,Parents,CUI,AQL,TERMUI,mesh_id
10,Ischemic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083242,T047,"Stroke, Acute Ischemic|Stroke, Cryptogenic Ischemic|Stroke, Ischaemic|Cryptogenic Strokes|Ischemic Strokes|Wake-up Strokes|Ischemic Stroke, Acute|Cryptogenic Embolism Stroke|Ischaemic Stroke|Cryptogenic Stroke|Ischaemic Strokes|Acute Ischemic Stroke|Stroke, Cryptogenic|Cryptogenic Ischemic Stroke|Embolism Stroke, Cryptogenic|Wake-up Stroke|Acute Ischemic Strokes|Stroke, Ischemic|Stroke, Cryptogenic Embolism|Wake up Stroke|Cryptogenic Embolism Strokes|Stroke, Wake-up|Cryptogenic Ischemic Strokes|Ischemic Stroke, Cryptogenic",http://purl.bioontology.org/ontology/MESH/D020521,C0948008|C5392832|C5392097|C5392833,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005057|T001004998|T001005114|T001004997|T001004996|T001005110|T001005056,D000083242
11,"Stroke, Lacunar",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D059409,T047,"Infarcts, Lacunar|Lacunar Syndrome|Infarct, Lacunar|Strokes, Lacunar|Lacunar Stroke|Lacunar Infarcts|Lacunar Strokes|Infarctions, Lacunar|Lacunar Infarctions|Syndromes, Lacunar|Syndrome, Lacunar|Lacunar Infarction|Lacunar Syndromes|Lacunar Infarct|Infarction, Lacunar",http://purl.bioontology.org/ontology/MESH/D000083244|http://purl.bioontology.org/ontology/MESH/D059345|http://purl.bioontology.org/ontology/MESH/D020520,C0333559|C3178801,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T366348|T777238|T777246|T776648,D059409
12,Embolic Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D000083262,T047,"Stroke, Cardioembolic|Cardio-embolic Stroke|Strokes, Cardioembolic|Embolic Strokes|Stroke, Embolic|Stroke, Cardio-embolic|Cardioembolic Strokes|Cardio-embolic Strokes|Strokes, Embolic|Cardioembolic Stroke|Cardio embolic Stroke|Strokes, Cardio-embolic",http://purl.bioontology.org/ontology/MESH/D000083242,C1531624|C0262469,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T001005060|T001005058|T001005059,D000083262
13,Stroke,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020521,T047,"Cerebral Stroke|Brain Vascular Accidents|CVA (Cerebrovascular Accident)|Stroke, Cerebral|Brain Vascular Accident|Cerebrovascular Apoplexy|Vascular Accident, Brain|Apoplexy, Cerebrovascular|Cerebral Strokes|Cerebrovascular Stroke|Strokes, Cerebrovascular|Acute Strokes|Cerebrovascular Accident|CVAs (Cerebrovascular Accident)|Cerebrovascular Accident, Acute|Acute Stroke|Strokes|Strokes, Acute|Acute Cerebrovascular Accidents|Cerebrovascular Accidents|Cerebrovascular Accidents, Acute|Stroke, Acute|Strokes, Cerebral|Acute Cerebrovascular Accident|Cerebrovascular Strokes|Stroke, Cerebrovascular|Vascular Accidents, Brain|Apoplexy",http://purl.bioontology.org/ontology/MESH/D002561,C0038454|C0751956,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RT SU TH UR VE VI,T367064|T367061|T367065|T007469|T358070|T007470|T367066|T367058|T367062|T367063,D020521
14,Stroke Volume,Finding,http://purl.bioontology.org/ontology/MESH/D013318,T033,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
15,Stroke Volume,Finding,http://purl.bioontology.org/ontology/MESH/D013318,T033,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
16,Stroke Volume,Finding,http://purl.bioontology.org/ontology/MESH/D013318,T033,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
17,Stroke Volume,Laboratory or Test Result,http://purl.bioontology.org/ontology/MESH/D013318,T034,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
18,Stroke Volume,Laboratory or Test Result,http://purl.bioontology.org/ontology/MESH/D013318,T034,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
19,Stroke Volume,Laboratory or Test Result,http://purl.bioontology.org/ontology/MESH/D013318,T034,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
20,Stroke Volume,Clinical Attribute,http://purl.bioontology.org/ontology/MESH/D013318,T201,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
21,Stroke Volume,Clinical Attribute,http://purl.bioontology.org/ontology/MESH/D013318,T201,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
22,Stroke Volume,Clinical Attribute,http://purl.bioontology.org/ontology/MESH/D013318,T201,"Ventricular End-Diastolic Volumes|Ejection Fraction, Ventricular|Fraction, Ventricular Ejection|Ventricular End Systolic Volume|Ventricular Ejection Fraction|Volumes, Ventricular End-Diastolic|Ventricular Ejection Fractions|Ejection Fractions, Ventricular|Ventricular End Diastolic Volume|Volumes, Ventricular End-Systolic|Ventricular End-Diastolic Volume|Ventricular End-Systolic Volume|Volume, Ventricular End-Diastolic|Stroke Volumes|Volume, Ventricular End-Systolic|End-Systolic Volumes, Ventricular|Fractions, Ventricular Ejection|End-Systolic Volume, Ventricular|End-Diastolic Volume, Ventricular|End-Diastolic Volumes, Ventricular|Volume, Stroke|Volumes, Stroke|Ventricular End-Systolic Volumes",http://purl.bioontology.org/ontology/MESH/D002302,C0042508|C0038455|C0080308|C0042509,DE GE IM PH RE,T039113|T039112|T039111|T039110,D013318
23,National Institute of Neurological Disorders and Stroke (U.S.),Health Care Related Organization,http://purl.bioontology.org/ontology/MESH/D055825,T093,NINDS|National Institute of Neurological Disorders and Stroke,http://purl.bioontology.org/ontology/MESH/D009316,C2350584,CL EC ES HI LJ OG SN ST TD,T718944|T718943|T718942,D055825
24,Stiff-Person Syndrome,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D016750,T047,"Syndrome, Stiff-Baby|Congenital Stiff-Man Syndromes|Syndrome, Startle|Congenital Stiff Man Syndrome|Familial Hyperekplexias|Hyperekplexias, Hereditary|Moersch Woltmann Syndrome|Stiff-Person Syndrome, Congenital|Stiff-Trunk Syndrome|Congenital Stiff-Person Syndrome|Syndromes, Stiff-Trunk|Startle Syndrome|Syndrome, Moersch-Woltmann|Syndrome, Stiff-Person|Moersch-Woltmann Syndrome|Syndromes, Congenital Stiff-Person|Hereditary Hyperekplexia|Syndrome, Stiffman|Stiffman Syndrome|Syndrome, Stiff-Trunk|Stiff Man Syndrome|Stiff-Man Syndrome|Syndromes, Congenital Stiff-Man|Syndrome, Stiff-Man|Stiff Person Syndrome|Hyperekplexias, Familial|Stiff-Trunk Syndromes|Stiff Trunk Syndrome|Hyperekplexia, Familial|Startle Syndromes|Stiff-Man Syndrome, Congenital|Congenital Stiff-Person Syndromes|Stiff-Baby Syndrome|Syndrome, Congenital Stiff-Person|Hyperekplexia, Hereditary|Syndromes, Startle|Syndrome, Congenital Stiff-Man|Congenital Stiff-Man Syndrome|Familial Hyperekplexia|Syndromes, Stiff-Baby|Stiff-Man Syndromes, Congenital|Stiff-Baby Syndromes|Hereditary Hyperekplexias|Stiff-Person Syndromes, Congenital",http://purl.bioontology.org/ontology/MESH/D013118|http://purl.bioontology.org/ontology/MESH/D009468|http://purl.bioontology.org/ontology/MESH/D020274,C0085292|C4255079|C4084968,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T841602|T841607|T050218|T841608|T050217|T811986|T365296|T841603|T841605|T050216|T841604,D016750
