,Gene name,Gene type,Gene description
45,SUDS3P1,processed_pseudogene,"SDS3 homolog, SIN3A corepressor complex component pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44000]"
46,,unprocessed_pseudogene,"KIR3DL3 killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 (KIR3DL3) pseudogene"
47,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, two domains, pseudogene"
48,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3 (KIR2DS3) pseudogene"
49,KRTAP9-12P,unprocessed_pseudogene,"keratin associated protein 9-12, pseudogene [Source:HGNC Symbol;Acc:HGNC:48873]"
50,KRTAP9-11P,unprocessed_pseudogene,"keratin associated protein 9-11, pseudogene [Source:HGNC Symbol;Acc:HGNC:18918]"
51,,transcribed_unprocessed_pseudogene,THO complex 3 (THOC3) pseudogene
52,DNM1P38,unprocessed_pseudogene,dynamin 1 pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:35188]
53,RPL21P36,processed_pseudogene,ribosomal protein L21 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:36128]
54,,transcribed_processed_pseudogene,novel pseudogene
55,,processed_pseudogene,"ribosomal protein, large, P0 (RPLP0) pseudogene"
56,GOLGA8DP,unprocessed_pseudogene,"golgin A8 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:32376]"
57,,unprocessed_pseudogene,abhydrolase domain containing 17A (ABHD17A) pseudogene
58,,processed_pseudogene,glypican 5 (GPC5) pseudogene
59,ABCB10P1,processed_pseudogene,ABCB10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:14114]
60,,processed_pseudogene,ankyrin repeat domain 26 (ANKRD26) pseudogene
61,ZNF965P,processed_pseudogene,"zinc finger protein 965, pseudogene [Source:HGNC Symbol;Acc:HGNC:42025]"
62,RNA5SP458,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 458 [Source:HGNC Symbol;Acc:HGNC:43358]"
63,GXYLT1P1,processed_pseudogene,GXYLT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39676]
64,CYP4F34P,unprocessed_pseudogene,"cytochrome P450 family 4 subfamily F member 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:39953]"
65,CNN2P12,processed_pseudogene,calponin 2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39834]
66,SNX18P26,processed_pseudogene,sorting nexin 18 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:39634]
67,LINC00328-2P,processed_pseudogene,"long intergenic non-protein coding RNA 328-2, pseudogene [Source:HGNC Symbol;Acc:HGNC:42027]"
68,ANKRD20A9P,unprocessed_pseudogene,"ankyrin repeat domain 20 family member A9, pseudogene [Source:HGNC Symbol;Acc:HGNC:42023]"
69,,processed_pseudogene,ribosomal protein L29 (RPL29) pseudogene
70,MPHOSPH10P5,unprocessed_pseudogene,MPHOSPH10 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:55691]
71,,unprocessed_pseudogene,"novel pseudogene similar to apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A APOBEC3A"
72,,processed_pseudogene,"family with sequence similarity 208, member A (FAM208A) pseudogene"
73,GOLGA8DP,transcribed_unprocessed_pseudogene,"golgin A8 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:32376]"
74,,unprocessed_pseudogene,exosome component 6 (EXOSC6) pseudogene
75,,unprocessed_pseudogene,"glucuronidase, beta (GUSB) pseudogene"
76,,unprocessed_pseudogene,"NLR family, apoptosis inhibitory protein pseudogene"
77,ELMO2P1,transcribed_unprocessed_pseudogene,engulfment and cell motility 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38008]
78,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2 (KIR3DL2) pseudogene"
79,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 (KIR2DL3) pseudogene"
80,,transcribed_unprocessed_pseudogene,"glucuronidase, beta (GUSB) pseudogene"
81,CDH12P2,unprocessed_pseudogene,cadherin 12 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1752]
82,,unprocessed_pseudogene,dynamin 1 (DNM1) pseudogene
83,UBE2Q2P6,unprocessed_pseudogene,UBE2Q2 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:49412]
84,RPS5P3,processed_pseudogene,RPS5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10427]
85,,unprocessed_pseudogene,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) (HNRNPD) pseudogene"
86,GNG5P1,processed_pseudogene,G protein subunit gamma 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4409]
87,,transcribed_processed_pseudogene,ribosomal protein L9 pseudogene 9
88,CSPG4P10,transcribed_unprocessed_pseudogene,chondroitin sulfate proteoglycan 4 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:48361]
89,GOLGA6L17P,transcribed_unprocessed_pseudogene,"golgin A6 family like 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:49414]"
90,SLC25A51P1,processed_pseudogene,SLC25A51 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23325]
91,ADH5P4,processed_pseudogene,ADH5 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:21377]
92,GOLGA2P10,transcribed_unprocessed_pseudogene,GOLGA2 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:26229]
93,,processed_pseudogene,ring finger protein 145 (Rnf145) pseudogene
94,HERC2P7,unprocessed_pseudogene,HERC2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:4875]
95,SPATA31E3P,unprocessed_pseudogene,"SPATA31 subfamily E member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:43828]"
96,,unprocessed_pseudogene,Ig heavy chain V-I pseudogene
97,MPHOSPH10P9,unprocessed_pseudogene,MPHOSPH10 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:55696]
98,ADAMTS7P1,transcribed_unprocessed_pseudogene,ADAMTS7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49407]
99,GOLGA8EP,transcribed_unprocessed_pseudogene,"golgin A8 family member E, pseudogene [Source:HGNC Symbol;Acc:HGNC:32377]"
100,,transcribed_unprocessed_pseudogene,killer cell immunoglobulin-like receptor family pseudogene
101,HERC2P2,transcribed_unprocessed_pseudogene,HERC2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]
102,,transcribed_unprocessed_pseudogene,chondroitin sulfate proteoglycan 4 (CSPG4) pseudogene
103,UBE2Q2P2,transcribed_unprocessed_pseudogene,UBE2Q2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37440]
104,GOLGA8IP,transcribed_unprocessed_pseudogene,"golgin A8 family member I, pseudogene [Source:HGNC Symbol;Acc:HGNC:26660]"
105,SDHAP2,transcribed_unprocessed_pseudogene,SDHA pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:27408]
106,,transcribed_unprocessed_pseudogene,microtubule-associated protein 1 light chain 3 beta (MAP1LC3B) pseudogene
107,KRTAP2-5P,unprocessed_pseudogene,"keratin associated protein 2-5, pseudogene [Source:HGNC Symbol;Acc:HGNC:18920]"
108,,processed_pseudogene,ribosomal protein L31 (RPL31) pseudogene
109,KRTAP3-4P,unprocessed_pseudogene,"keratin associated protein 3-4, pseudogene [Source:HGNC Symbol;Acc:HGNC:18919]"
110,RPL4P5,processed_pseudogene,ribosomal protein L4 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:35699]
111,RPS6P22,processed_pseudogene,ribosomal protein S6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:35655]
112,,processed_pseudogene,methyltransferase 5 domain containing 1 (METT5D1) pseudogene
113,,processed_pseudogene,"protein phosphatase 4, regulatory subunit 2, pseudogene."
114,,unprocessed_pseudogene,cadherin 12 (N-cadherin 2) (CDH12) pseudogene
115,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4 (KIR2DS4) pseudogene"
116,CYP2D8P,unprocessed_pseudogene,"ccytochrome P450 family 2 subfamily D member 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:2628]"
117,OLA1P1,processed_pseudogene,OLA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45274]
118,HERC2P11,unprocessed_pseudogene,HERC2 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:49882]
119,,processed_pseudogene,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3"
120,,unprocessed_pseudogene,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) (MPHOSPH10) pseudogene
121,,processed_pseudogene,"cholinergic receptor, nicotinic, beta 4 (CHRNB4) pseudogene"
122,,processed_pseudogene,chromosome 6 open reading frame 108 (C6orf108) pseudogene
123,,processed_pseudogene,intraflagellar transport 57 homolog (Chlamydomonas) (IFT57) pseudogene
124,,transcribed_unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 (KIR3DL3) pseudogene"
125,MREGP1,processed_pseudogene,melanoregulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50749]
126,,processed_pseudogene,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene"
127,,unprocessed_pseudogene,"family with sequence similarity 108, member A1 (F"
128,GOLGA6L22,unprocessed_pseudogene,golgin A6 family like 22 [Source:NCBI gene (formerly Entrezgene);Acc:440243]
129,,unprocessed_pseudogene,"family with sequence similarity 208, member A (FAM208A)"
130,ABCB10P4,processed_pseudogene,ABCB10 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:31130]
131,GOLGA6L25,unprocessed_pseudogene,golgin A6 family like 25 [Source:HGNC Symbol;Acc:HGNC:55711]
132,,processed_pseudogene,"family with sequence similarity 208, member A (FAM208A)"
133,,processed_pseudogene,ribosomal protein L13a (RPL13A) pseudogene
134,,unprocessed_pseudogene,hect domain and RLD 2 (HERC2) pseudogene
135,,processed_pseudogene,"solute carrier family 25, member 13 (citrin) (SLC25A13) pseudogene"
136,,transcribed_unprocessed_pseudogene,hect domain and RLD 2 (HERC2) pseudogene
137,ICE2P1,processed_pseudogene,interactor of little elongation complex ELL subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48856]
138,IFITM4P,processed_pseudogene,interferon induced transmembrane protein 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:21669]
139,ZNF90P2,processed_pseudogene,zinc finger protein 90 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21687]
140,RPL7AP27,processed_pseudogene,ribosomal protein L7a pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:36806]
141,OR2AS2P,unprocessed_pseudogene,olfactory receptor family 2 subfamily AS member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:31248]
142,RPS17P1,processed_pseudogene,ribosomal protein S17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13982]
143,,unprocessed_pseudogene,HLA complex group 4 pseudogene 5
144,MICD,unprocessed_pseudogene,MHC class I polypeptide-related sequence D (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7093]
145,OR2G1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8251]
146,WASF5P,processed_pseudogene,"WASP family member 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:21665]"
147,,processed_pseudogene,fibroblast growth factor receptor 3 pseudogene
148,PTMAP1,processed_pseudogene,prothymosin alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9624]
149,NOP56P1,processed_pseudogene,NOP56 ribonucleoprotein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13962]
150,TMEM183AP1,processed_pseudogene,transmembrane protein 183A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33458]
151,OR2J4P,unprocessed_pseudogene,olfactory receptor family 2 subfamily J member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8262]
152,FAM8A2P,unprocessed_pseudogene,"family with sequence similarity 8 member A2, pseudogene [Source:HGNC Symbol;Acc:HGNC:16373]"
153,NAA50P1,processed_pseudogene,NAA50 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55920]
154,OR8L1P,unprocessed_pseudogene,olfactory receptor family 8 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15316]
155,,unprocessed_pseudogene,metaxin 1 (MTX1) pseudogene
156,HLA-T,unprocessed_pseudogene,"major histocompatibility complex, class I, T (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23478]"
157,,processed_pseudogene,novel pseudogene
158,,processed_pseudogene,mitofusin 1 (MFN1) pseudogene
159,OR8K2P,unprocessed_pseudogene,olfactory receptor family 8 subfamily K member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:14832]
160,OR8I1P,unprocessed_pseudogene,olfactory receptor family 8 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14828]
161,MAS1LP1,unprocessed_pseudogene,MAS1L pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33448]
162,HCG4,unprocessed_pseudogene,HLA complex group 4 [Source:HGNC Symbol;Acc:HGNC:21241]
163,SUMO2P1,processed_pseudogene,SUMO2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13985]
164,RPL5P29,processed_pseudogene,ribosomal protein L5 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:36335]
165,OR2U1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily U member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8278]
166,OR2N1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily N member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8271]
167,RPL7P4,processed_pseudogene,ribosomal protein L7 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:21634]
168,OR2AD1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily AD member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14749]
169,PMCHL2,transcribed_unprocessed_pseudogene,pro-melanin concentrating hormone like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9111]
170,RPL7AP7,processed_pseudogene,ribosomal protein L7a pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:21395]
171,OR2U2P,unprocessed_pseudogene,olfactory receptor family 2 subfamily U member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:8279]
172,OR2H4P,unprocessed_pseudogene,olfactory receptor family 2 subfamily H member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8255]
173,TRIM26BP,unprocessed_pseudogene,"tripartite motif containing 26B, pseudogene [Source:HGNC Symbol;Acc:HGNC:31338]"
174,RPL13AP,processed_pseudogene,ribosomal protein L13a pseudogene [Source:HGNC Symbol;Acc:HGNC:13977]
175,RPSAP2,processed_pseudogene,ribosomal protein SA pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:18771]
176,,processed_pseudogene,HLA complex group 19 pseudogene
177,,unprocessed_pseudogene,"major histocompatibility complex, class II, DR beta 8 (pseudogene)"
178,TMPOP1,processed_pseudogene,thymopoietin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21364]
179,,unprocessed_pseudogene,"killer cell immunoglobulin-like receptor, three domains, pseudogene 1"
180,,unprocessed_pseudogene,MHC class I polypeptide-related sequence F pseudogene
181,OR2J1,unprocessed_pseudogene,olfactory receptor family 2 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:8259]
182,RPL13P,processed_pseudogene,ribosomal protein L13 pseudogene [Source:HGNC Symbol;Acc:HGNC:13978]
183,OR2I1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]
184,MTX1P1,unprocessed_pseudogene,metaxin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7505]
185,,unprocessed_pseudogene,"glucosidase, beta, acid (GBA) pseudogene"
186,,unprocessed_pseudogene,pseudogene similar to part of UDP glucuronosyltransferase 2 family protein
187,HLA-W,unprocessed_pseudogene,"major histocompatibility complex, class I, W (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23425]"
188,,processed_pseudogene,speckle-type POZ protein-like (SPOPL) pseudogene
189,HCG4B,unprocessed_pseudogene,HLA complex group 4B [Source:HGNC Symbol;Acc:HGNC:22919]
190,,unprocessed_pseudogene,UDP glucuronosyltransferase 2 family pseudogene
191,UGT2B27P,unprocessed_pseudogene,"UDP glucuronosyltransferase family 2 member B27, pseudogene [Source:HGNC Symbol;Acc:HGNC:12551]"
192,UGT2B29P,unprocessed_pseudogene,"UDP glucuronosyltransferase family 2 member B29, pseudogene [Source:HGNC Symbol;Acc:HGNC:12552]"
193,MT2P1,processed_pseudogene,metallothionein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7407]
194,OR2P1P,unprocessed_pseudogene,olfactory receptor family 2 subfamily P member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8272]
195,UBDP1,unprocessed_pseudogene,ubiquitin D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18796]
196,OR2H5P,unprocessed_pseudogene,olfactory receptor family 2 subfamily H member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:8256]
197,HNRNPA1P2,processed_pseudogene,heterogeneous nuclear ribonucleoprotein A1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:13958]
198,MICC,unprocessed_pseudogene,MHC class I polypeptide-related sequence C (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7092]
199,,processed_pseudogene,YME1-like 1 (S. cerevisiae) pseudogene
200,KRT18P1,processed_pseudogene,keratin 18 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6434]
201,,processed_pseudogene,ribosomal protein L17 (RPL17) pseudogene
202,DDX39BP2,unprocessed_pseudogene,DEAD-box helicase 39B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33461]
203,PCGF7P,processed_pseudogene,polycomb group ring finger 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:30341]
204,ZNF92P2,processed_pseudogene,zinc finger protein 92 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39554]
205,MTDHP5,processed_pseudogene,metadherin pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:52361]
206,VN1R85P,unprocessed_pseudogene,vomeronasal 1 receptor 85 pseudogene [Source:HGNC Symbol;Acc:HGNC:37405]
207,BNIP3P31,processed_pseudogene,BCL2 interacting protein 3 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:49711]
208,BNIP3P30,processed_pseudogene,BCL2 interacting protein 3 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:49710]
209,,unprocessed_pseudogene,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 (LILRB2) pseudogene"
210,FAM90A7,unprocessed_pseudogene,family with sequence similarity 90 member A7 [Source:HGNC Symbol;Acc:HGNC:32255]
211,,unprocessed_pseudogene,novel ubiquitin specific peptidase pseudogene
212,DEFB108C,unprocessed_pseudogene,defensin beta 108C [Source:HGNC Symbol;Acc:HGNC:30847]
213,FAM90A22,unprocessed_pseudogene,family with sequence similarity 90 member A22 [Source:HGNC Symbol;Acc:HGNC:32270]
214,OR7E157P,unprocessed_pseudogene,olfactory receptor family 7 subfamily E member 157 pseudogene [Source:HGNC Symbol;Acc:HGNC:31231]
215,,unprocessed_pseudogene,pseudogene similar to leukocyte immunoglobulin-like receptor
216,,processed_pseudogene,mitochondrial ribosomal protein L40 (MRPL40) pseudogene
217,HSPD1P3,processed_pseudogene,heat shock protein family D (Hsp60) member 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:5264]
218,FAM90A21P,unprocessed_pseudogene,"family with sequence similarity 90 member A21, pseudogene [Source:HGNC Symbol;Acc:HGNC:32269]"
219,,processed_pseudogene,ribosomal protein S6 (RPS6) pseudogene
220,FAM90A6P,unprocessed_pseudogene,"family with sequence similarity 90 member A6, pseudogene [Source:HGNC Symbol;Acc:HGNC:32254]"
221,,processed_pseudogene,phosphodiesterase 7 pseudogene
222,,processed_pseudogene,pregnancy-specific glycoprotein pseudogene
223,PLEKHA3P1,processed_pseudogene,pleckstrin homology domain containing A3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19648]
224,DNAJC19P2,processed_pseudogene,DnaJ heat shock protein family (Hsp40) member C19 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45065]
225,NDUFB9P1,processed_pseudogene,NADH:ubiquinone oxidoreductase subunit B9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52269]
226,TNXA,unprocessed_pseudogene,tenascin XA (pseudogene) [Source:HGNC Symbol;Acc:HGNC:11975]
227,MTCO3P1,unprocessed_pseudogene,MT-CO3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31342]
228,,unprocessed_pseudogene,ubiquitin-specific protease (USP) pseudogene
229,,processed_pseudogene,chromosome 11 open reading frame 2 (C11orf2) pseudogene
230,FAM90A23,unprocessed_pseudogene,family with sequence similarity 90 member A23 [Source:HGNC Symbol;Acc:HGNC:32271]
231,RPL7AP55,processed_pseudogene,ribosomal protein L7a pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:36314]
232,,unprocessed_pseudogene,occludin (OCLN) pseudogene
233,OR5E1P,unprocessed_pseudogene,olfactory receptor family 5 subfamily E member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8342]
234,HLA-H,unprocessed_pseudogene,"major histocompatibility complex, class I, H (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4965]"
235,DNAJC19P3,processed_pseudogene,DnaJ heat shock protein family (Hsp40) member C19 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45066]
236,TPM3P5,processed_pseudogene,tropomyosin 3 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39168]
237,MCCD1P2,unprocessed_pseudogene,mitochondrial coiled-coil domain 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33462]
238,CEACAMP3,transcribed_unprocessed_pseudogene,CEA cell adhesion molecule pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:1825]
239,CCDC188BP,unprocessed_pseudogene,"coiled-coil domain containing 188B, pseudogene [Source:HGNC Symbol;Acc:HGNC:56303]"
240,,transcribed_processed_pseudogene,MAD1 mitotic arrest deficient-like 1 (yeast)(MAD1L1) pseudogene
241,,processed_pseudogene,von Hippel-Lindau binding protein 1 (VBP1) pseudogene
