,Gene name,Gene type,Gene description
110,HCG14,lncRNA,HLA complex group 14 [Source:HGNC Symbol;Acc:HGNC:18323]
111,,lncRNA,HLA complex group 16
112,MDC1-AS1,lncRNA,MDC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39764]
113,MMEL1-AS1,lncRNA,MMEL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40695]
114,POLR1HASP,lncRNA,"POLR1H antisense, pseudogene [Source:HGNC Symbol;Acc:HGNC:13924]"
115,DDR1-DT,lncRNA,DDR1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:28694]
116,LINC01623,lncRNA,long intergenic non-protein coding RNA 1623 [Source:HGNC Symbol;Acc:HGNC:52050]
117,TRIM31-AS1,lncRNA,TRIM31 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39761]
118,PMCHL2,lncRNA,pro-melanin concentrating hormone like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9111]
119,LINC00533,lncRNA,long intergenic non-protein coding RNA 533 [Source:HGNC Symbol;Acc:HGNC:18690]
120,LINC01015,lncRNA,long intergenic non-protein coding RNA 1015 [Source:HGNC Symbol;Acc:HGNC:48988]
121,MUC22,lncRNA,mucin 22 [Source:HGNC Symbol;Acc:HGNC:39755]
122,LMNTD2-AS1,lncRNA,LMNTD2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41204]
123,TSBP1-AS1,lncRNA,TSBP1 and BTNL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39756]
124,TNFRSF14-AS1,lncRNA,TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]
125,HCG17,lncRNA,HLA complex group 17 [Source:HGNC Symbol;Acc:HGNC:31339]
126,HCG27,lncRNA,HLA complex group 27 [Source:HGNC Symbol;Acc:HGNC:27366]
127,PSMB1,lncRNA,proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]
128,,lncRNA,"novel transcript, overlapping to FAM120B"
129,HLA-F-AS1,lncRNA,HLA-F antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26645]
130,RNA5-8SN4,rRNA,"RNA, 5.8S ribosomal N4 [Source:HGNC Symbol;Acc:HGNC:53529]"
131,MAD2L1-DT,lncRNA,MAD2L1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55546]
132,LINC01624,lncRNA,long intergenic non-protein coding RNA 1624 [Source:HGNC Symbol;Acc:HGNC:52051]
133,LINC02982,lncRNA,long intergenic non-protein coding RNA 2982 [Source:HGNC Symbol;Acc:HGNC:56056]
134,HCG21,lncRNA,HLA complex group 21 [Source:HGNC Symbol;Acc:HGNC:31335]
135,WEE2-AS1,lncRNA,WEE2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48669]
136,HCG22,lncRNA,HLA complex group 22 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:27780]
137,LINC01194,lncRNA,long intergenic non-protein coding RNA 1194 [Source:HGNC Symbol;Acc:HGNC:37171]
138,PSORS1C3,lncRNA,psoriasis susceptibility 1 candidate 3 [Source:HGNC Symbol;Acc:HGNC:17203]
139,HCP5,lncRNA,HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]
140,FAM66B,lncRNA,family with sequence similarity 66 member B [Source:HGNC Symbol;Acc:HGNC:28890]
141,,lncRNA,novel transcript (LOC100505495)
142,LINC01480,lncRNA,long intergenic non-protein coding RNA 1480 [Source:HGNC Symbol;Acc:HGNC:51124]
143,,lncRNA,"novel transcript, sense intronic to CEACAM21"
144,LINC01149,lncRNA,long intergenic non-protein coding RNA 1149 [Source:HGNC Symbol;Acc:HGNC:39757]
145,HLA-DQB1-AS1,lncRNA,HLA-DQB1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39762]
146,LINC01659,lncRNA,long intergenic non-protein coding RNA 1659 [Source:HGNC Symbol;Acc:HGNC:52447]
147,FAM157D,lncRNA,family with sequence similarity 157 member D [Source:HGNC Symbol;Acc:HGNC:56252]
148,FAM230I,lncRNA,family with sequence similarity 230 member I [Source:HGNC Symbol;Acc:HGNC:52446]
149,LINC03015,lncRNA,long intergenic non-protein coding RNA 3015 [Source:HGNC Symbol;Acc:HGNC:56143]
150,LINC03014,lncRNA,long intergenic non-protein coding RNA 3014 [Source:HGNC Symbol;Acc:HGNC:56142]
151,LINC02557,lncRNA,long intergenic non-protein coding RNA 2557 [Source:HGNC Symbol;Acc:HGNC:53596]
152,LINC02403,lncRNA,long intergenic non-protein coding RNA 2403 [Source:HGNC Symbol;Acc:HGNC:53330]
153,GIHCG,lncRNA,GIHCG inhibitor of miR-200b/200a/429 expression [Source:HGNC Symbol;Acc:HGNC:52649]
154,RN7SKP65,misc_RNA,RN7SK pseudogene 65 [Source:HGNC Symbol;Acc:HGNC:45789]
155,HCG15,lncRNA,HLA complex group 15 [Source:HGNC Symbol;Acc:HGNC:18361]
156,LINC03009,lncRNA,long intergenic non-protein coding RNA 3009 [Source:NCBI gene (formerly Entrezgene);Acc:100133091]
157,,lncRNA,chromosome 6 open reading frame 214 (putative)
158,,lncRNA,"novel transcript, antisense to C14orf180"
159,LINC02570,lncRNA,long intergenic non-protein coding RNA 2570 [Source:HGNC Symbol;Acc:HGNC:39766]
160,LINC01262,lncRNA,long intergenic non-protein coding RNA 1262 [Source:HGNC Symbol;Acc:HGNC:50275]
161,DDX39B-AS1,lncRNA,DDX39B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39771]
162,,lncRNA,"novel transcript, antisense to SLC39A11"
163,LINC02688,lncRNA,long intergenic non-protein coding RNA 2688 [Source:HGNC Symbol;Acc:HGNC:54184]
164,FAM138D,lncRNA,family with sequence similarity 138 member D [Source:HGNC Symbol;Acc:HGNC:33583]
165,CDRT15P3,lncRNA,CDRT15 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:33824]
166,TRBV11-2,lncRNA,T cell receptor beta variable 11-2 [Source:HGNC Symbol;Acc:HGNC:12181]
167,IQSEC3-AS1,lncRNA,IQSEC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56002]
168,RPH3AL-AS2,lncRNA,RPH3AL antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56089]
169,RPH3AL-AS1,lncRNA,RPH3AL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55345]
170,,lncRNA,"novel transcript, antisense to MAPT"
171,,lncRNA,"novel transcript, antisense to MAMDC2"
172,MAPT-IT1,lncRNA,MAPT intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:43741]
173,,lncRNA,"novel transcript, antisense to MROH5"
174,LINC01300,lncRNA,long intergenic non-protein coding RNA 1300 [Source:HGNC Symbol;Acc:HGNC:50460]
175,MAMDC2-AS1,lncRNA,MAMDC2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48719]
176,BTG3-AS1,lncRNA,BTG3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53145]
177,U2,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
178,,lncRNA,"novel transcript, antisense to RPH3AL"
179,OR5V1,lncRNA,olfactory receptor family 5 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:13972]
180,,lncRNA,ERICH1 antisense RNA 1
181,,lncRNA,"novel transcript, antisense to TRPV6"
182,,lncRNA,"novel transcript, antisense to KIAA0355"
183,LINC02829,lncRNA,long intergenic non-protein coding RNA 2829 [Source:HGNC Symbol;Acc:HGNC:54362]
184,LINC01896,lncRNA,long intergenic non-protein coding RNA 1896 [Source:HGNC Symbol;Acc:HGNC:52715]
185,LINC02091,lncRNA,long intergenic non-protein coding RNA 2091 [Source:HGNC Symbol;Acc:HGNC:52942]
186,DPY19L2P2,lncRNA,DPY19L2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21764]
187,LINC02887,lncRNA,long intergenic non-protein coding RNA 2887 [Source:HGNC Symbol;Acc:HGNC:55047]
188,KCNQ1-AS1,lncRNA,KCNQ1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42790]
189,,lncRNA,"novel transcript, antisense an TBC1D3B pseudogene"
190,CCL3-AS1,lncRNA,CCL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55229]
191,,lncRNA,"novel transcript, antisense to ARHGAP27"
192,,lncRNA,"novel transcript, antisense to SLC2A11"
193,LL22NC03-63E9.3,lncRNA,uncharacterized LOC648691 [Source:NCBI gene (formerly Entrezgene);Acc:648691]
194,,lncRNA,"novel transcript, antisense to ZNF251"
195,U8,snoRNA,U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]
196,CEP72-DT,lncRNA,CEP72 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55563]
197,LINC01238,lncRNA,long intergenic non-protein coding RNA 1238 [Source:HGNC Symbol;Acc:HGNC:49795]
198,LINC01880,lncRNA,long intergenic non-protein coding RNA 1880 [Source:HGNC Symbol;Acc:HGNC:52699]
199,PRSS59P,lncRNA,"serine protease 59, pseudogene [Source:HGNC Symbol;Acc:HGNC:43791]"
200,,lncRNA,novel protein
201,ABR-AS1,lncRNA,ABR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55674]
202,LINC00588,lncRNA,long intergenic non-protein coding RNA 588 [Source:HGNC Symbol;Acc:HGNC:24494]
203,LINC01606,lncRNA,long intergenic non-protein coding RNA 1606 [Source:HGNC Symbol;Acc:HGNC:51656]
204,C6orf47-AS1,lncRNA,C6orf47 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39767]
205,NCF4-AS1,lncRNA,NCF4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40393]
206,KANSL1-AS1,lncRNA,KANSL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43740]
207,,lncRNA,"novel transcript, antisense to a novel protein"
208,,lncRNA,"novel transcript, antisense to a novel gene"
209,RN7SL301P,misc_RNA,"RNA, 7SL, cytoplasmic 301, pseudogene [Source:HGNC Symbol;Acc:HGNC:46317]"
210,CARS1-AS1,lncRNA,CARS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40125]
211,,lncRNA,"novel transcript, antisense to NAP1L4"
212,MIR22HG,lncRNA,MIR22 host gene [Source:HGNC Symbol;Acc:HGNC:28219]
213,MAPT-AS1,lncRNA,MAPT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43738]
214,SLC22A18AS,lncRNA,SLC22A18 antisense RNA [Source:HGNC Symbol;Acc:HGNC:10965]
215,KCNQ1DN,lncRNA,KCNQ1 downstream neighbor [Source:HGNC Symbol;Acc:HGNC:13335]
216,SNORA54,snoRNA,"small nucleolar RNA, H/ACA box 54 [Source:HGNC Symbol;Acc:HGNC:32647]"
217,RNU6-1207P,snRNA,"RNA, U6 small nuclear 1207, pseudogene [Source:HGNC Symbol;Acc:HGNC:48170]"
218,LINC02536,lncRNA,long intergenic non-protein coding RNA 2536 [Source:HGNC Symbol;Acc:HGNC:53570]
219,PTPRK-AS1,lncRNA,PTPRK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40484]
220,,lncRNA,"novel transcript, antisense to PTPRK"
221,RN7SL268P,misc_RNA,"RNA, 7SL, cytoplasmic 268, pseudogene [Source:HGNC Symbol;Acc:HGNC:46284]"
222,MIF-AS1,lncRNA,MIF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27669]
223,LINC00685,lncRNA,long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560]
224,,lncRNA,"novel transcript, antisense to PPP2R3B"
225,LINC00242,lncRNA,long intergenic non-protein coding RNA 242 [Source:HGNC Symbol;Acc:HGNC:21249]
226,LINC00574,lncRNA,long intergenic non-protein coding RNA 574 [Source:HGNC Symbol;Acc:HGNC:21598]
227,,lncRNA,"novel transcript, sense intronic to DDTL"
228,,lncRNA,"novel transcript, intronic to CATSPERB"
229,5S_rRNA,rRNA_pseudogene,5S ribosomal RNA [Source:RFAM;Acc:RF00001]
230,LINC00308,lncRNA,long intergenic non-protein coding RNA 308 [Source:HGNC Symbol;Acc:HGNC:16023]
231,RNU4-45P,snRNA,"RNA, U4 small nuclear 45, pseudogene [Source:HGNC Symbol;Acc:HGNC:46981]"
232,HERC2P9,lncRNA,HERC2 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:30495]
233,SMIM10L1,lncRNA,small integral membrane protein 10 like 1 [Source:HGNC Symbol;Acc:HGNC:49847]
234,LILRB1-AS1,lncRNA,LILRB1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53114]
235,CABIN1,lncRNA,calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]
236,LINC01237,lncRNA,long intergenic non-protein coding RNA 1237 [Source:HGNC Symbol;Acc:HGNC:49793]
237,FAM240C,lncRNA,family with sequence similarity 240 member C [Source:HGNC Symbol;Acc:HGNC:54200]
238,,lncRNA,"novel transcript, antisense to ARHGEF10"
239,KBTBD11-OT1,lncRNA,KBTBD11 overlapping transcript 1 [Source:NCBI gene (formerly Entrezgene);Acc:104266957]
240,LINC03021,lncRNA,long intergenic non-protein coding RNA 3021 [Source:NCBI gene (formerly Entrezgene);Acc:101927815]
241,RN7SL105P,misc_RNA,"RNA, 7SL, cytoplasmic 105, pseudogene [Source:HGNC Symbol;Acc:HGNC:46121]"
242,KBTBD11-AS1,lncRNA,KBTBD11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55530]
243,PATL2,lncRNA,PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]
244,LINC03021,lncRNA,long intergenic non-protein coding RNA 3021 [Source:HGNC Symbol;Acc:HGNC:56149]
245,RNU6-164P,snRNA,"RNA, U6 small nuclear 164, pseudogene [Source:HGNC Symbol;Acc:HGNC:47127]"
246,LINC02904,lncRNA,long intergenic non-protein coding RNA 2904 [Source:HGNC Symbol;Acc:HGNC:26731]
247,,lncRNA,"novel transcript, antisense to MYH11"
248,RN7SKP117,misc_RNA,RN7SK pseudogene 117 [Source:HGNC Symbol;Acc:HGNC:45841]
249,SORD2P,lncRNA,"sorbitol dehydrogenase 2, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:653381]"
250,PSMB8-AS1,lncRNA,PSMB8 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:39758]
251,,lncRNA,"novel transcript, antisense to TTYH1"
252,CLN8-AS1,lncRNA,CLN8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55523]
253,HCG25,lncRNA,HLA complex group 25 [Source:HGNC Symbol;Acc:HGNC:20196]
254,LINC01347,lncRNA,long intergenic non-protein coding RNA 1347 [Source:HGNC Symbol;Acc:HGNC:50566]
255,,lncRNA,"novel transcript, antisense to ARHGAP23"
256,LY6E-DT,lncRNA,LY6E divergent transcript [Source:HGNC Symbol;Acc:HGNC:53728]
257,LINC01347,lncRNA,long intergenic non-protein coding RNA 1347 [Source:NCBI gene (formerly Entrezgene);Acc:731275]
258,RNU6-747P,snRNA,"RNA, U6 small nuclear 747, pseudogene [Source:HGNC Symbol;Acc:HGNC:47710]"
259,,lncRNA,"novel transcript, antisense to LHX1"
260,LINC01511,lncRNA,long intergenic non-protein coding RNA 1511 [Source:HGNC Symbol;Acc:HGNC:51200]
261,,lncRNA,"novel transcript, antisense to PLEKHM1"
262,LINC02825,lncRNA,long intergenic non-protein coding RNA 2825 [Source:HGNC Symbol;Acc:HGNC:27477]
263,LINC01070,lncRNA,long intergenic non-protein coding RNA 1070 [Source:HGNC Symbol;Acc:HGNC:49110]
264,LINC01043,lncRNA,long intergenic non-protein coding RNA 1043 [Source:HGNC Symbol;Acc:HGNC:49031]
265,LINC01044,lncRNA,long intergenic non-protein coding RNA 1044 [Source:HGNC Symbol;Acc:HGNC:49032]
266,LINC02878,lncRNA,long intergenic non-protein coding RNA 2878 [Source:HGNC Symbol;Acc:HGNC:54524]
267,LINC02203,lncRNA,long intergenic non-protein coding RNA 2203 [Source:HGNC Symbol;Acc:HGNC:53069]
