gwas_trait,mesh,similarity
Inflammatory bowel disease,Anti-Inflammatory Agents,0.8953475952148438
Metabolically unhealthy in obesity,"Obesity, Metabolically Benign",0.9032926559448242
Metabolically unhealthy in normal weight,"Obesity, Metabolically Benign",0.9095628261566162
Suicidal ideation,Anxiety Disorders,0.825775682926178
Suicide attempts,Depression,0.8618260622024536
Sleep duration (short sleep),"Hypertension, Portal",0.8339259028434753
Sleep duration (long sleep),"Hypertension, Portal",0.846348226070404
Sleep duration,Walking Speed,0.8677996397018433
D-dimer levels in HIV infection,"Embolism, Cholesterol",0.8458752036094666
Interleukin-6 levels in HIV infection,"Anti-Inflammatory Agents, Non-Steroidal",0.8575084209442139
High-sensitivity C-reactive protein levels in HIV infection,Pregnancy-Associated Plasma Protein-A,0.860640287399292
Nocturnal enuresis,Xerostomia,0.8587331175804138
Neuropsychiatric disorders,Sciatic Neuropathy,0.8771150708198547
Schizophrenia (MTAG),"Headache Disorders, Secondary",0.860968828201294
Alcohol use disorder (total score),Alcoholic Beverages,0.8766046762466431
Alcohol use disorder (consumption score),Alcohol Drinking,0.8854489326477051
Alcohol use disorder (dependence and problematic use scores),Alcoholic Beverages,0.8879699110984802
Two-hour glucose in pregnancy (gestational week 30-32),Gestational Weight Gain,0.8523414134979248
Composite immunoglobulin trait (IgA/IgG),"Immunoglobulin A, Secretory",0.9198886156082153
IgA levels,Immunoglobulin M,0.8527929782867432
Composite immunoglobulin trait (IgA x IgG/IgM),"Immunoglobulin A, Secretory",0.9149918556213379
Composite immunoglobulin trait (IgG/IgM),Immunoglobulin Gm Allotypes,0.9208731055259705
Composite immunoglobulin trait (IgA/IgM),"Immunoglobulin A, Secretory",0.9205226302146912
IgM levels,Immunoglobulin M,0.8636072874069214
IgG levels,Immunoglobulin M,0.8658866882324219
Life satisfaction,Family Health,0.8558105826377869
Vesicoureteral reflux,Vesico-Ureteral Reflux,0.9545261859893799
Academic attainment (English),"Diet, Paleolithic",0.8134039044380188
Left ventricular global circumferential strain (MTAG),"Hypertrophy, Left Ventricular",0.8721631765365601
Left ventricular global radial strain (MTAG),"Hypertrophy, Left Ventricular",0.8694923520088196
Left ventricular global longitudinal strain (MTAG),"Hypertrophy, Left Ventricular",0.8704051971435547
Hypertrophic cardiomyopathy,Cardiomyopathies,0.9302986264228821
Major depressive disorder (MTAG),Anxiety Disorders,0.8542854189872742
BRCA1/2-negative high-risk breast cancer,"Retinol-Binding Proteins, Plasma",0.8166378736495972
Hip shape (DXA scan),Osteomalacia,0.824759304523468
Mitochondrial DNA levels,Mitochondrial Size,0.9218776822090149
Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma,"Asthma, Exercise-Induced",0.8613508939743042
Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma,"Asthma, Exercise-Induced",0.8601890802383423
Asthma (time to childhood onset) in early life tobacco smoke exposure,"Asthma, Exercise-Induced",0.848507821559906
Asthma (childhood onset),Dyspepsia,0.8606486320495605
Asthma (time to childhood onset) x early life tobacco smoke interaction,"Asthma, Exercise-Induced",0.8440255522727966
Adenocarcinoma in never smokers,Alcoholic Neuropathy,0.8386832475662231
Lung cancer in never smokers,"Liver Diseases, Alcoholic",0.8240899443626404
Blood metabolite levels,Metabolism,0.8892626166343689
Keratoconus,Osteomalacia,0.8668747544288635
Cognitive function in longevity,Cerebral Angiography,0.8336281180381775
Diabetic retinopathy in type 2 diabetes,Diabetic Retinopathy,0.9325174689292908
Addison's disease,Celiac Disease,0.8479970097541809
Disruptive behavior disorder and attention deficit hyperactivity disorder,Feeding and Eating Disorders of Childhood,0.86171555519104
Stroke,Stroke,1.0000001192092896
Frontal fibrosing alopecia,"Mastocytosis, Cutaneous",0.8408641219139099
Glycine levels,Glycolysis,0.8958489894866943
Carpal tunnel syndrome,Spinal Cord Ischemia,0.8051568865776062
circulating leptin levels adjusted for BMI,Adiponectin,0.8729841709136963
Mean spheric corpuscular volume,"Hemoglobinuria, Paroxysmal",0.8217350840568542
Nonalcoholic fatty liver disease,Non-alcoholic Fatty Liver Disease,0.9218392372131348
Multiple severe cisplatin-induced neurotixicitiies in testicular cancer survivors,Familial Hypophosphatemic Rickets,0.8552983999252319
Neonatal white matter microstructure,"Anemia, Neonatal",0.8454824686050415
Monocyte percentage of white cells,"Macrophages, Peritoneal",0.8682821393013
Red cell distribution width,Plasma Cells,0.8568734526634216
Red blood cell count,"Anemia, Macrocytic",0.8502399325370789
Asthma (adult onset),"Asthma, Exercise-Induced",0.8612101674079895
Mean platelet volume,Platelet Function Tests,0.8669054508209229
Smoking status (ever vs never smokers),"Asthma, Exercise-Induced",0.8298640847206116
Plasma selenium concentration,Plasma,0.8899770975112915
PR interval,Diet,0.8637049794197083
White blood cell count,"Anemia, Macrocytic",0.8491676449775696
Autism spectrum disorder,"Headache Disorders, Secondary",0.8257556557655334
Mean reticulocyte volume,"Anemia, Macrocytic",0.8793872594833374
Systemic mastocytosis,"Mastocytosis, Systemic",0.9082536697387695
Cutaneous mastocytosis (adult),"Mastocytosis, Cutaneous",0.8945512175559998
Mastocytosis,Mastocytosis,1.0
Cutaneous mastocytosis,"Mastocytosis, Cutaneous",0.911623477935791
Cutaneous mastocytosis (childhood),"Mastocytosis, Cutaneous",0.9025565981864929
Homeostasis model assessment of insulin resistance,Insulin Resistance,0.8479346036911011
Fasting glucose,Glycemic Index,0.8542926907539368
White matter hyperintensity volume,Neurogenic Inflammation,0.8256717920303345
Parental lifespan,Life Style,0.8417622447013855
White matter hyperintensity volume x hypertension interaction (2df),"Hypertension, Pulmonary",0.8664788007736206
3-hydroxybutyrate + 3-aminoisobutyrate levels,Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.8558494448661804
Lysine levels,Gliadin,0.8854973316192627
N-acetyl neuraminic acid levels,Glutamic Acid,0.8631095886230469
Trimethylamine levels,Phenylthiourea,0.8872433304786682
Severe COVID-19 infection with respiratory failure (analysis I),"Liver Failure, Acute",0.8643887639045715
Severe COVID-19 infection with respiratory failure (analysis II),"Anemia, Hemolytic, Congenital Nonspherocytic",0.864677906036377
Septic shock (28-day mortality),"Liver Failure, Acute",0.8501463532447815
Septic shock resolution,Steatorrhea,0.8719689249992371
Major depressive disorder (lifetime),Anxiety Disorders,0.8455077409744263
Help-seeking from a GP,Polypharmacy,0.7981476187705994
Help-seeking from a GP (without major depressive disorder symptoms),"Desensitization, Psychologic",0.8428700566291809
Distal/Left-sided colorectal cancer,"Adenoma, Liver Cell",0.8228843808174133
Proximal colorectal cancer,"Adenoma, Liver Cell",0.8415368795394897
Distal colorectal cancer,Gastrointestinal Diseases,0.839255690574646
Rectal cancer,"Adenoma, Liver Cell",0.8303499817848206
Colon cancer,"Colitis, Collagenous",0.8690050840377808
Tumor necrosis factor levels,Tumor Necrosis Factor-alpha,0.9396554827690125
Adult onset asthma and/or waist-to-hip ratio adjusted for BMI,"Asthma, Exercise-Induced",0.8314989805221558
Nonatopic asthma and/or waist-to-hip ratio adjusted for BMI,"Asthma, Exercise-Induced",0.8344783186912537
Adult onset asthma and/or BMI,"Asthma, Exercise-Induced",0.864688515663147
Nonatopic asthma and/or BMI,"Asthma, Exercise-Induced",0.8588459491729736
Adult onset asthma or fasting glucose levels,"Asthma, Exercise-Induced",0.8704183101654053
Nonatopic asthma or fasting glucose levels,"Asthma, Exercise-Induced",0.8679406642913818
Alcohol use disorder,Alcohol Drinking,0.9032889604568481
Problematic alcohol use (MTAG),Alcohol Drinking in College,0.85328209400177
Chronic obstructive pulmonary disease,Pulmonary Heart Disease,0.8798840641975403
Myocardial fractal dimension (slice 2),Myocardial Contraction,0.868984580039978
Myocardial fractal dimension (slice 6),"Echocardiography, Doppler, Color",0.8611229062080383
Myocardial fractal dimension (slice 3),Myocardial Contraction,0.8630593419075012
Myocardial fractal dimension (slice 4),Myocardial Contraction,0.8673038482666016
Myocardial fractal dimension (slice 5),Myocardial Contraction,0.8671684861183167
Myocardial fractal dimension (slice 7),Myocardial Contraction,0.8626226782798767
Myocardial fractal dimension (slice 8),"Echocardiography, Doppler, Color",0.8608660101890564
Height,Diet,0.9340054392814636
Coronary artery disease,Coronary Artery Disease,0.977735698223114
Early age-related macular degeneration,"Optic Neuropathy, Ischemic",0.8381813764572144
Pelvic organ prolapse,Vesico-Ureteral Reflux,0.8533499836921692
Asthma with severe exacerbations,"Asthma, Exercise-Induced",0.8729248642921448
Facial pigmentation measurement (UV light),Plasma Gases,0.8472515344619751
Facial pigmentation measurement (polar light),"Hemoglobinuria, Paroxysmal",0.8457216620445251
Lung function (FVC),Ventricular Function,0.8508723378181458
Systemic sclerosis,Sciatic Neuropathy,0.855731725692749
Eyebrow thickness,Steatorrhea,0.8659548163414001
Falling risk,Eating,0.8546210527420044
Fish consumption,Fish Products,0.9254273176193237
Plasma renin activity levels,Plasma Kallikrein,0.8973694443702698
Diastolic blood pressure x alcohol consumption interaction (1df test),"Cholesterol, Dietary",0.8502683639526367
Affective disorder and suicide attempts,Anxiety Disorders,0.8749528527259827
Facial wrinkles,"Tongue, Fissured",0.8426323533058167
Delirium,Nausea,0.8909315466880798
Major depressive disorder,Anxiety Disorders,0.8644479513168335
High density lipoprotein cholesterol levels,"Lipoproteins, LDL",0.9142661690711975
Triglyceride levels,Triglycerides,0.950843870639801
Cholesteryl ester transfer protein levels,Cholesterol Ester Transfer Proteins,0.9123746752738953
Extremely high intelligence,Life Style,0.8495644330978394
Offspring birth weight,"Heart Rate, Fetal",0.8242835998535156
Depression (broad),"Depression, Chemical",0.9007656574249268
Electrocardiogram morphology (amplitude at temporal datapoints),Electrocardiography,0.9185259342193604
Eudaimonic well-being,"Anxiety, Separation",0.8512849807739258
Hedonic well-being,Social Perception,0.848753809928894
Takayasu arteritis,Diabetic Angiopathies,0.8495572805404663
Response to ranibizumab in age-related macular degeneration (exudative),"Optic Neuropathy, Ischemic",0.8655263185501099
Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df),Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.8391981720924377
Diffusing capacity of the lung for carbon monoxide traits,"Absorption, Physiological",0.8070094585418701
Educational attainment (years of education),Nutritional Status,0.8241409063339233
Disrupted circadian rhythm (low relative amplitude of rest-activity cycles),Calcium Metabolism Disorders,0.8328907489776611
Cirrhosis (alcohol related),"Liver Cirrhosis, Alcoholic",0.9246044754981995
Diverticulitis,"Colitis, Collagenous",0.8748468160629272
Cutaneous leishmaniasis,"Mastocytosis, Cutaneous",0.8562004566192627
Large artery stroke,Ischemic Stroke,0.893489420413971
Hand grip strength,Walking Speed,0.8129082918167114
Serum CC16 levels,Plasma,0.8648025989532471
Carotid intima media thickness in rheumatoid arthritis,Carotid Artery Thrombosis,0.841874897480011
Ischemic heart disease in rheumatoid arthritis,Rheumatic Heart Disease,0.8810139298439026
Carotid plaques in rheumatoid arthritis,Rheumatic Heart Disease,0.8529486656188965
Cerebral microbleeds,Cerebral Angiography,0.8999751210212708
Cerebral microbleeds (lobar),Cerebral Angiography,0.8863139748573303
Type 2 diabetes,Prediabetic State,0.8943411707878113
Type 2 diabetes (adjusted for BMI),"Diabetes Mellitus, Type 2",0.8642226457595825
Waldenström macroglobulinemia / lymphoplasmacytic lymphoma,Plasmablastic Lymphoma,0.8999135494232178
Serum uric acid levels,Homocystinuria,0.8655335307121277
Brain imaging measurements,Stroke Volume,0.8499763607978821
Shingles,Heartburn,0.873939573764801
Anti-rubella virus IgG levels,Immunoglobulin G,0.8815795183181763
Glaucoma,Ocular Hypertension,0.8734255433082581
Mouth ulcers,Mouth Diseases,0.8640796542167664
Triiodothyronine levels,Homocystinuria,0.8474984765052795
Thyroxine levels,Adiponectin,0.8702077865600586
Thyroid stimulating hormone levels,Glucagon-Like Peptide 1,0.8297781944274902
Triiodothyronine levels and thyroxine levels,Pyridoxine,0.8277382850646973
Lung function (FEV1),"Ventricular Function, Right",0.8468908667564392
Lung function (FEV1/FVC),"Ventricular Function, Right",0.8380200266838074
Digit length ratio (right hand),Whole Blood Coagulation Time,0.8248546719551086
Digit length ratio,Nutrition Assessment,0.8420241475105286
Digit length ratio (left hand),Whole Blood Coagulation Time,0.8193745017051697
Anthropometric traits,Body Weights and Measures,0.8528873324394226
Birth weight,Gestational Weight Gain,0.8279337286949158
Acute lymphoblastic leukemia (childhood),Plasmablastic Lymphoma,0.8648892045021057
Healthspan,Health,0.9001467823982239
Psychological resilience (outcome-based) in high deployment stress exposure,"Desensitization, Psychologic",0.849289059638977
Psychological resilience (outcome-based),"Desensitization, Psychologic",0.8537082076072693
Urinary albumin excretion (no hypertensive medication),"Hypertension, Renal",0.8759101033210754
Urinary albumin excretion,"Renal Plasma Flow, Effective",0.858563244342804
Chronic back pain,Pulmonary Heart Disease,0.8543546795845032
Delayed reward discounting,Impulsive Behavior,0.7950018644332886
Seasonality and depression,"Stress, Psychological",0.8265004754066467
Lateral ventricular volume in normal aging,"Ventricular Dysfunction, Right",0.8392396569252014
Hypersomnia (HLA-DQB1*06:02 negative),"Hemoglobinuria, Paroxysmal",0.8478879332542419
Paediatric migraine,Migraine Disorders,0.9017669558525085
IgA nephropathy,Diabetic Nephropathies,0.9113814830780029
Postburn scar height,Wound Healing,0.845214307308197
Postburn scar pliability,Wound Healing,0.8454050421714783
Endometrial cancer (endometrioid histology),"Neoplasms, Adipose Tissue",0.8526540398597717
Endometrial cancer (Non-endometrioid histology),Polycystic Ovary Syndrome,0.8485683798789978
Endometrial cancer,"Osteoporosis, Postmenopausal",0.8466367125511169
Response to lurasidone in schizophrenia,"Desensitization, Psychologic",0.8627914786338806
Major depressive disorder (probable),"Depression, Postpartum",0.8430941700935364
Major depressive disorder (ICD-10 coded),National Institute of Neurological Disorders and Stroke (U.S.),0.8340204358100891
Radiation-induced brain injury in nasopharyngeal carcinoma,Bovine Virus Diarrhea-Mucosal Disease,0.8556172251701355
Lung cancer in ever smokers,"Hypertension, Pulmonary",0.8285396099090576
Multiple myeloma,Plasmacytoma,0.8961045742034912
Circulating fibroblast growth factor 23 levels,Vascular Endothelial Growth Factor A,0.8852616548538208
Upper eyelid sagging severity,"Tongue, Fissured",0.8323681354522705
General factor of neuroticism,"Desensitization, Psychologic",0.8391964435577393
Cerebrospinal fluid AB1-42 levels,Cerebral Angiography,0.8598079681396484
Alpha synuclein levels (MTAG),Serum Amyloid A Protein,0.8646162152290344
Cerebrospinal fluid t-tau levels,Cerebral Angiography,0.8538114428520203
Cerebrospinal P-tau181p levels,Serum Amyloid A Protein,0.8619558215141296
Cerebrospinal fluid α-synuclein levels,Small Fiber Neuropathy,0.8403295278549194
Shoulder impingement or rotator cuff tear,Tension-Type Headache,0.8062710762023926
Shoulder impingement,Tension-Type Headache,0.8310041427612305
Response to antidepressants (symptom improvement),"Desensitization, Psychologic",0.8546673059463501
Remission after antidepressant treatment in major depression,Feeding and Eating Disorders of Childhood,0.8254761695861816
Abdominal aortic aneurysm,Heart Aneurysm,0.8918206691741943
Atrial fibrillation,"Arrhythmias, Cardiac",0.874631404876709
Methadone dose in opioid dependence,"Desensitization, Psychologic",0.8701169490814209
Primary biliary cholangitis,"Liver Cirrhosis, Biliary",0.8762708902359009
Educational attainment (MTAG),Nutritional Status,0.8239156603813171
Anti-Mullerian hormone levels in pre-menopausal women of late reproductive age,"Osteoporosis, Postmenopausal",0.8829194903373718
Suicide attempt severity,"Depression, Chemical",0.8265864253044128
Neutrophil level response to clozapine in treatment-resistant schizophrenia,"Desensitization, Psychologic",0.8489201664924622
Smoking behaviour (cigarettes smoked per day),Sedentary Behavior,0.861835241317749
Smoking cessation,Sedentary Behavior,0.8383955359458923
Age of smoking initiation,"Hypertension, Portal",0.8203518390655518
Smoking initiation (ever regular vs never regular),Sedentary Behavior,0.8481396436691284
Alzheimer's disease,Sciatic Neuropathy,0.8388471603393555
QRS duration,Electrocardiography,0.8538841605186462
Plasma anastrozole concentration in anastrozole-treated estrogen receptor positive breast cancer,Pregnancy-Associated Plasma Protein-A,0.8410509824752808
QT interval,Electrocardiography,0.8246101140975952
RR interval (heart rate),Heart Rate Determination,0.8590615391731262
Adult asthma,Rheumatic Heart Disease,0.8589565753936768
Chronotype,Steatorrhea,0.8905040621757507
Thyroid nodules,Hyperlipidemias,0.8435084223747253
Body mass index,Body Mass Index,0.9594774842262268
Biliary atresia,Osteomalacia,0.8490033149719238
Blood protein levels,Plasma,0.8784376978874207
Fractures,Heart Injuries,0.8473778367042542
Cannabis use,Food Addiction,0.8536184430122375
Glomerular filtration rate change in heart transplantation,"Hypertension, Renal",0.848788321018219
Total cholesterol levels,"Cholesterol, HDL",0.9284146428108215
Aspartate aminotransferase levels,Aspartame,0.831457793712616
Philtrum width,Gliadin,0.8713860511779785
Energy expenditure,Energy Intake,0.9005621671676636
Energy intake,Diet Therapy,0.9027590751647949
Alanine aminotransferase levels,Creatine Kinase,0.8426241874694824
Gout,Heartburn,0.8885536193847656
Skin reflectance (Melanin index),"Isophane Insulin, Human",0.8405510187149048
Iris color (a* coordinate),Vitamin B Complex,0.826530933380127
Iris color (b* coordinate),Vitamin B Complex,0.8295745253562927
Iris color (L* coordinate),Vitamin B Complex,0.8241312503814697
Rheumatoid arthritis,Rheumatic Heart Disease,0.9045304656028748
3-month functional outcome in ischaemic stroke (modified Rankin score),Ischemic Stroke,0.845723032951355
3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score),"Optic Neuropathy, Ischemic",0.8493810892105103
Anxiety/tension (special factor of neuroticism),"Anxiety, Separation",0.8936483263969421
Confectionary intake,"Diet, Vegetarian",0.8715936541557312
Bronchopulmonary dysplasia in preterm infants,Familial Primary Pulmonary Hypertension,0.8747956156730652
Monoclonal gammopathy of undetermined significance,"Anemia, Hemolytic, Autoimmune",0.8223869204521179
Midgestational cytokine/chemokine levels (maternal genetic effect),"Chemokines, CXC",0.8770484328269958
Neonatal cytokine/chemokine levels (maternal genetic effect),"Chemokines, CC",0.8787360191345215
Neonatal cytokine/chemokine levels (fetal genetic effect),"Chemokines, CXC",0.8731502294540405
Glioblastoma (age-stratified),"Liver Neoplasms, Experimental",0.8416489362716675
Plasma parathyroid hormone levels,Plasma Kallikrein,0.8614725470542908
Pemphigus vulgaris,Eosinophilic Esophagitis,0.8409131169319153
Sudden cardiac arrest,Heart Arrest,0.8594412803649902
Photic sneeze reflex,Steatorrhea,0.8758613467216492
Epithelial ovarian cancer,Polycystic Ovary Syndrome,0.8645918369293213
Iris heterochromicity,"Anemia, Hypochromic",0.8327099680900574
Type 1 diabetes,Prediabetic State,0.8862206935882568
Brooding (response to stress),"Stress, Psychological",0.855935275554657
Reflection (response to stress),"Anxiety, Separation",0.8614972829818726
Worry/vulnerability (special factor of neuroticism),"Anxiety, Separation",0.872131884098053
Warfarin maintenance dose (adjusted for clinical factors),Insulin Lispro,0.8417584896087646
Osteolysis in total hip arthroplasty,"Osteoporosis, Postmenopausal",0.8425973653793335
Osteolysis in total hip arthroplasty (time to prosthesis revision),"Osteoporosis, Postmenopausal",0.8358538746833801
Uterine fibroid number (single vs multiple),"Hemoglobinuria, Paroxysmal",0.8503388166427612
Uterine fibroid size (maximum dimension),"Hemoglobinuria, Paroxysmal",0.8515921235084534
Uterine fibroid size (maximum volume),"Hemoglobinuria, Paroxysmal",0.8512745499610901
Lung cancer,Pulmonary Heart Disease,0.8514605760574341
Gastric cancer,Pancreas,0.8531602621078491
Response to opioid analgesics in cancer (pain decrease),"Desensitization, Psychologic",0.8628135919570923
Triglycerides,Triglycerides,1.0
Schizophrenia,Cluster Headache,0.8679553866386414
Waist-to-hip ratio adjusted for BMI (recessive genetic model),Waist-Hip Ratio,0.8634074926376343
Waist-to-hip ratio adjusted for BMI (additive genetic model),Waist-Hip Ratio,0.8628965020179749
Morning person,Sweetening Agents,0.8545677065849304
Ewing sarcoma,Plasmacytoma,0.8450459837913513
Infection persistence (>18 months) in genital human papillomavirus 16 infection,Pregnancy-Associated Plasma Protein-A,0.8650990128517151
Nonsyndromic cleft lip with or without cleft palate x sex interaction (2df test),Hypoplastic Left Heart Syndrome,0.8417623043060303
Tuberculosis,Prediabetic State,0.8311545848846436
Total hippocampal volume,Adiponectin,0.7965127229690552
Hippocampal subfield CA1 volume,Olfactory Nerve,0.824429988861084
Hippocampal subfield CA4 volume,Olfactory Nerve,0.8231772780418396
Subiculum volume (corrected for total hippocampal volume),Cerebral Angiography,0.8207514882087708
Dentate gyrus granule cell layer volume,Olfactory Nerve,0.8434075117111206
Hippocampal tail volume (corrected for total hippocampal volume),Familial Hypophosphatemic Rickets,0.8187626004219055
Dentate gyrus molecular layer volume,Olfactory Nerve,0.8411626815795898
Hippocampal fissure volume,Olfactory Mucosa,0.8473096489906311
Subiculum volume,Steatorrhea,0.8608500957489014
Hippocampal subfield CA3 volume,Olfactory Nerve,0.8255258202552795
Presubiculum volume (corrected for total hippocampal volume),Familial Hypophosphatemic Rickets,0.8300803899765015
Hippocampal subfield CA1 volume (corrected for total hippocampal volume),Familial Hypophosphatemic Rickets,0.8260141015052795
HDL cholesterol,"Cholesterol, HDL",0.9385392665863037
Hippocampal tail volume,Olfactory Pathways,0.8263109922409058
LDL cholesterol,"Cholesterol, LDL",0.9412268996238708
Periodontitis,Mouth Diseases,0.8670915365219116
Nicotine dependence and major depression (severity of comorbidity),"Desensitization, Psychologic",0.8577841520309448
Infantile hypertrophic pyloric stenosis,Familial Primary Pulmonary Hypertension,0.8698249459266663
Serum erythropoietin levels,"Anemia, Dyserythropoietic, Congenital",0.8704546093940735
Developmental dysplasia of the hip,Polycystic Ovary Syndrome,0.8402577638626099
Post bronchodilator percent predicted FEV1 in smoking,"Hypertension, Pulmonary",0.8221411108970642
Post bronchodilator FEV1/FVC ratio in smoking,"Hypertension, Pulmonary",0.819624662399292
Alcohol consumption (drinks per week),Alcohol Drinking in College,0.8994917869567871
Age of smoking initiation (MTAG),"Diet, Paleolithic",0.8178706765174866
Thyroglobulin plasma levels,Adiponectin,0.8757696151733398
Cigarettes smoked per day (MTAG),Sedentary Behavior,0.8309197425842285
Smoking cessation (MTAG),Insulin Lispro,0.8493288159370422
Smoking initiation (ever regular vs never regular) (MTAG),"Asthma, Exercise-Induced",0.8499228954315186
"Cortical brain region measurements (area, volume and thickness)",Cerebral Angiography,0.8417951464653015
Parkinson's disease (age of onset),Sciatic Neuropathy,0.8413308262825012
Visceral fat,Abdominal Fat,0.8942428827285767
Asthma,Allergens,0.8820223212242126
Asthma onset (childhood vs adult),"Asthma, Exercise-Induced",0.8587687611579895
Facial attractiveness (female raters),Loudness Perception,0.8430573344230652
Facial attractiveness (male raters),Loudness Perception,0.8378593325614929
Ankylosing spondylitis,Sciatic Neuropathy,0.8566144704818726
Trunk fat mass adjusted for trunk lean mass,Body Mass Index,0.8518355488777161
Urolithiasis,Homocystinuria,0.8659459948539734
