,gpt_mesh,series
122,Mycoses,gpt_phys
123,"Fungal Infections, Invasive",gpt_phys
124,Aspergillosis,gpt_phys
125,Candidiasis,gpt_phys
126,"Candidiasis, Vulvovaginal",gpt_phys
127,Cryptococcosis,gpt_phys
128,Histoplasmosis,gpt_phys
129,Coccidioidomycosis,gpt_phys
130,Blastomycosis,gpt_phys
131,Mucormycosis,gpt_phys
132,Pneumocystis Pneumonia,gpt_phys
133,Sporotrichosis,gpt_phys
134,"Parasitic Diseases, Animal",gpt_phys
135,"Parasitic Diseases, Animal, Vertebrate",gpt_phys
136,"Parasitic Diseases, Animal, Invertebrate",gpt_phys
137,"Protozoan Infections, Animal, Bovine",gpt_phys
138,"Protozoan Infections, Animal, Canine",gpt_phys
139,"Protozoan Infections, Animal, Equine",gpt_phys
140,"Protozoan Infections, Animal, Feline",gpt_phys
141,"Protozoan Infections, Animal, Nonhuman Primate",gpt_phys
142,"Protozoan Infections, Animal, Rodent",gpt_phys
143,"Protozoan Infections, Animal, Sheep",gpt_phys
144,Bacterial Infections and Mycoses,gpt_phys
145,Virus Diseases and Mycoses,gpt_phys
146,Protozoan Infections and Mycoses,gpt_phys
0,Infection,gpt_path
1,Infectious Diseases,gpt_path
2,Communicable Diseases,gpt_path
3,Acquired Immunodeficiency Syndrome,gpt_path
4,Zoonoses,gpt_path
5,Vector-Borne Diseases,gpt_path
6,Foodborne Diseases,gpt_path
7,Waterborne Diseases,gpt_path
8,Airborne Diseases,gpt_path
9,Sexually Transmitted Diseases,gpt_path
10,Blood-Borne Pathogens,gpt_path
11,Nosocomial Infections,gpt_path
12,Opportunistic Infections,gpt_path
13,Cross Infection,gpt_path
14,Superinfection,gpt_path
15,Meningitis,gpt_path
16,Encephalitis,gpt_path
17,Pneumonia,gpt_path
18,Tuberculosis,gpt_path
19,Hepatitis,gpt_path
20,Human Immunodeficiency Virus Infections,gpt_path
21,"Influenza, Human",gpt_path
22,Respiratory Tract Infections,gpt_path
23,Gastrointestinal Infections,gpt_path
24,Skin and Soft Tissue Infections,gpt_path
25,Urinary Tract Infections,gpt_path
26,Sepsis,gpt_path
27,Malaria,gpt_path
28,Cholera,gpt_path
29,Lyme Disease,gpt_path
30,Dengue,gpt_path
31,Ebola Infection,gpt_path
32,Zika Virus Infection,gpt_path
33,COVID-19,gpt_path
34,Hantavirus Infections,gpt_path
35,West Nile Fever,gpt_path
36,Rabies,gpt_path
37,Measles,gpt_path
38,Mumps,gpt_path
39,Rubella,gpt_path
40,Chickenpox,gpt_path
41,Polio,gpt_path
42,Hepatitis B,gpt_path
43,Hepatitis C,gpt_path
44,HIV Infections,gpt_path
45,AIDS-Related Opportunistic Infections,gpt_path
46,Syphilis,gpt_path
47,Gonorrhea,gpt_path
48,Chlamydia Infections,gpt_path
49,Tetanus,gpt_path
50,Pertussis,gpt_path
51,"Tuberculosis, Pulmonary",gpt_path
52,Respiratory Syncytial Virus Infections,gpt_path
53,Clostridium difficile Infection,gpt_path
54,Toxoplasmosis,gpt_path
55,"Toxoplasmosis, Congenital",gpt_path
56,Leprosy,gpt_path
57,Diphtheria,gpt_path
58,Meningococcal Infections,gpt_path
59,Pneumocystis Infections,gpt_path
60,Candidiasis,gpt_path
61,Aspergillosis,gpt_path
62,Histoplasmosis,gpt_path
63,Coccidioidomycosis,gpt_path
64,Cryptococcosis,gpt_path
65,Cytomegalovirus Infections,gpt_path
66,Epstein-Barr Virus Infections,gpt_path
67,Varicella-Zoster Virus Infection,gpt_path
68,Herpes Simplex,gpt_path
69,Human papillomavirus infections,gpt_path
70,Retroviridae Infections,gpt_path
71,Orthomyxoviridae Infections,gpt_path
72,Rhabdoviridae Infections,gpt_path
73,Flaviviridae Infections,gpt_path
74,"Hemorrhagic Fevers, Viral",gpt_path
75,Coronavirus Infections,gpt_path
76,Severe Acute Respiratory Syndrome,gpt_path
77,Middle East Respiratory Syndrome Coronavirus,gpt_path
78,Herpesviridae Infections,gpt_path
79,Viral Hepatitis,gpt_path
80,Paramyxoviridae Infections,gpt_path
81,Papillomavirus Infections,gpt_path
82,Adenoviridae Infections,gpt_path
83,Poxviridae Infections,gpt_path
84,Parvoviridae Infections,gpt_path
85,Rhabdoviridae Infections,gpt_path
86,Arbovirus Infections,gpt_path
