,gpt_terms,series
14,Diet Therapy,gpt_jolly
15,Dietary Carbohydrates,gpt_jolly
16,Dietary Fats,gpt_jolly
17,Dietary Fiber,gpt_jolly
18,Dietary Proteins,gpt_jolly
19,Dietary Supplements,gpt_jolly
20,Drinking,gpt_jolly
21,Eating,gpt_jolly
22,Eating Disorders,gpt_jolly
23,Energy Intake,gpt_jolly
24,Energy Metabolism,gpt_jolly
25,Fast Foods,gpt_jolly
26,Feeding Behavior,gpt_jolly
27,Food,gpt_jolly
28,Food Analysis,gpt_jolly
29,Food Hypersensitivity,gpt_jolly
30,Food Labeling,gpt_jolly
31,Food Preferences,gpt_jolly
32,Food Supply,gpt_jolly
33,"Food, Formulated",gpt_jolly
34,Fruit,gpt_jolly
35,Gastrointestinal Transit,gpt_jolly
36,Healthy Diet,gpt_jolly
37,Hungry Hypothesis,gpt_jolly
38,Infant Nutritional Physiological Phenomena,gpt_jolly
39,Infant Nutrition Disorders,gpt_jolly
40,Insensible Water Loss,gpt_jolly
41,Ketogenic Diet,gpt_jolly
42,Macronutrients,gpt_jolly
43,Malnutrition,gpt_jolly
44,Meat,gpt_jolly
45,Micronutrients,gpt_jolly
46,Milk,gpt_jolly
47,Minerals,gpt_jolly
48,Nutrition Assessment,gpt_jolly
49,Nutrition Disorders,gpt_jolly
50,Nutrition Policy,gpt_jolly
51,Nutrition Surveys,gpt_jolly
52,Nutritional Physiological Phenomena,gpt_jolly
53,Nutritional Sciences,gpt_jolly
54,Nutritive Value,gpt_jolly
55,Obesity,gpt_jolly
56,Overweight,gpt_jolly
57,Plant Oils,gpt_jolly
58,Probiotics,gpt_jolly
59,Reduced Caloric Intake,gpt_jolly
60,Satiation,gpt_jolly
61,Snacks,gpt_jolly
62,"Sodium, Dietary",gpt_jolly
63,Sports Nutritional Physiological Phenomena,gpt_jolly
64,Sports Nutritional Sciences,gpt_jolly
65,Starvation,gpt_jolly
66,Sucrose,gpt_jolly
67,Sugar-Sweetened Beverages,gpt_jolly
68,Supervised Feeding,gpt_jolly
69,Sweets,gpt_jolly
70,Trace Elements,gpt_jolly
71,Vegetables,gpt_jolly
72,Vitamins,gpt_jolly
73,Weight Gain,gpt_jolly
74,Weight Loss,gpt_jolly
75,Weight Reduction Programs,gpt_jolly
76,"Zinc, Dietary",gpt_jolly
77,Binge-Eating Disorder,gpt_jolly
78,Bulimia Nervosa,gpt_jolly
79,Carbohydrate-Restricted Diet,gpt_jolly
80,Diabetes Mellitus,gpt_jolly
81,"Diabetes Mellitus, Type 1",gpt_jolly
82,"Diabetes Mellitus, Type 2",gpt_jolly
83,"Diet, Fat-Restricted",gpt_jolly
84,"Diet, High-Fat",gpt_jolly
85,"Diet, High-Protein",gpt_jolly
86,"Diet, Mediterranean",gpt_jolly
87,"Diet, Reducing",gpt_jolly
88,"Diet, Sodium-Restricted",gpt_jolly
89,"Diet, Vegetarian",gpt_jolly
90,Dyslipidemias,gpt_jolly
91,Eating Disorders,gpt_jolly
92,Feeding and Eating Disorders,gpt_jolly
93,Foodborne Diseases,gpt_jolly
94,Gastrointestinal Diseases,gpt_jolly
95,Hypercholesterolemia,gpt_jolly
96,Hyperglycemia,gpt_jolly
97,Hyperlipidemias,gpt_jolly
98,Insulin Resistance,gpt_jolly
99,Liver Diseases,gpt_jolly
100,Malabsorption Syndromes,gpt_jolly
101,Malnutrition,gpt_jolly
102,Metabolic Diseases,gpt_jolly
103,Metabolic Syndrome,gpt_jolly
104,Nutrition Disorders,gpt_jolly
105,Obesity,gpt_jolly
106,Overweight,gpt_jolly
107,Pediatric Obesity,gpt_jolly
108,Protein-Energy Malnutrition,gpt_jolly
109,Sarcopenia,gpt_jolly
110,Starvation,gpt_jolly
111,Weight Gain,gpt_jolly
112,Weight Loss,gpt_jolly
